stage,config,classifier,scenario,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
deep,ent_A_shannon,mlep,clean,800,409,0.995592,0.995944,0.96875,0.984848,0.953545,0.968944,0.0324602,0.02813,0.0291138
deep,ent_A_shannon,mlep,blur,800,409,0.675361,0.654566,0.58875,0.557971,0.94132,0.700637,0.38875,0.349651,0.340049
deep,ent_A_shannon,mlep,jpeg,800,409,0.419531,0.451182,0.48625,0.25,0.00244499,0.00484262,0.566227,0.5078,0.505833
deep,ent_A_shannon,mlep,webp,800,409,0.424396,0.460946,0.4925,1,0.00733496,0.0145631,0.557501,0.50628,0.506187
deep,ent_A_shannon,mlep,blur+jpeg,800,409,0.428751,0.456547,0.4875,0.333333,0.00244499,0.00485437,0.558723,0.510296,0.511731
deep,ent_B_renyi2,mlep,clean,800,409,0.996129,0.996441,0.97125,0.987374,0.95599,0.971429,0.0312377,0.0263619,0.0313994
deep,ent_B_renyi2,mlep,blur,800,409,0.684962,0.662672,0.59875,0.564516,0.94132,0.705775,0.36874,0.342949,0.333703
deep,ent_B_renyi2,mlep,jpeg,800,409,0.42272,0.452408,0.49,1,0.00244499,0.00487805,0.556222,0.507718,0.506602
deep,ent_B_renyi2,mlep,webp,800,409,0.435317,0.467296,0.49375,0.833333,0.0122249,0.0240964,0.539992,0.505141,0.506141
deep,ent_B_renyi2,mlep,blur+jpeg,800,409,0.430061,0.457353,0.48875,0.5,0.00244499,0.00486618,0.553777,0.509874,0.511115
deep,ent_B_renyi4,mlep,clean,800,409,0.996745,0.99696,0.9725,0.987406,0.958435,0.972705,0.0312377,0.0249765,0.0321382
deep,ent_B_renyi4,mlep,blur,800,409,0.688971,0.670054,0.60125,0.566766,0.933985,0.705448,0.362515,0.336079,0.320637
deep,ent_B_renyi4,mlep,jpeg,800,409,0.426863,0.456033,0.49125,1,0.00488998,0.00973236,0.55878,0.506056,0.502168
deep,ent_B_renyi4,mlep,webp,800,409,0.435055,0.47562,0.49375,0.833333,0.0122249,0.0240964,0.555,0.503013,0.500803
deep,ent_B_renyi4,mlep,blur+jpeg,800,409,0.430721,0.460645,0.48875,0.5,0.00488998,0.00968523,0.559946,0.508501,0.508789
deep,ent_C_tsallis2,mlep,clean,800,409,0.995385,0.995739,0.965,0.982278,0.948655,0.965174,0.0250127,0.0277444,0.0324492
deep,ent_C_tsallis2,mlep,blur,800,409,0.680745,0.6642,0.56875,0.544321,0.96088,0.69496,0.361236,0.375135,0.372163
deep,ent_C_tsallis2,mlep,jpeg,800,409,0.433319,0.457913,0.485,0.2,0.00244499,0.00483092,0.546273,0.508329,0.509271
deep,ent_C_tsallis2,mlep,webp,800,409,0.427323,0.466724,0.4925,0.8,0.00977995,0.0193237,0.557501,0.50427,0.502058
deep,ent_C_tsallis2,mlep,blur+jpeg,800,409,0.43155,0.457745,0.48375,0.166667,0.00244499,0.00481928,0.555,0.510104,0.510665
deep,ent_C_tsallis4,mlep,clean,800,409,0.996279,0.997122,0.97625,0.96875,0.98533,0.97697,0.0200101,0.0199922,0.0286759
deep,ent_C_tsallis4,mlep,blur,800,409,0.719908,0.692933,0.58875,0.555556,0.977995,0.708592,0.33628,0.35401,0.359607
deep,ent_C_tsallis4,mlep,jpeg,800,409,0.446485,0.466505,0.485,0.411765,0.0171149,0.0328638,0.536268,0.501328,0.494046
deep,ent_C_tsallis4,mlep,webp,800,409,0.437615,0.46207,0.49125,0.75,0.00733496,0.0145278,0.543772,0.507277,0.507895
deep,ent_C_tsallis4,mlep,blur+jpeg,800,409,0.422151,0.448022,0.4875,0.333333,0.00244499,0.00485437,0.547496,0.510574,0.511017
