config,condition,matrix,true,pred,count
deg_baseline_2x2,clean,ai,no,no,353
deg_baseline_2x2,clean,ai,no,yes,68
deg_baseline_2x2,clean,ai,yes,no,75
deg_baseline_2x2,clean,ai,yes,yes,304
deg_baseline_2x2,clean,blur,no,no,412
deg_baseline_2x2,clean,blur,no,yes,388
deg_baseline_2x2,clean,blur,yes,no,0
deg_baseline_2x2,clean,blur,yes,yes,0
deg_baseline_2x2,clean,jpeg,no,no,658
deg_baseline_2x2,clean,jpeg,no,yes,142
deg_baseline_2x2,clean,jpeg,yes,no,0
deg_baseline_2x2,clean,jpeg,yes,yes,0
deg_baseline_2x2,jpeg_only,ai,no,no,209
deg_baseline_2x2,jpeg_only,ai,no,yes,207
deg_baseline_2x2,jpeg_only,ai,yes,no,164
deg_baseline_2x2,jpeg_only,ai,yes,yes,220
deg_baseline_2x2,jpeg_only,blur,no,no,396
deg_baseline_2x2,jpeg_only,blur,no,yes,404
deg_baseline_2x2,jpeg_only,blur,yes,no,0
deg_baseline_2x2,jpeg_only,blur,yes,yes,0
deg_baseline_2x2,jpeg_only,jpeg,no,no,0
deg_baseline_2x2,jpeg_only,jpeg,no,yes,0
deg_baseline_2x2,jpeg_only,jpeg,yes,no,0
deg_baseline_2x2,jpeg_only,jpeg,yes,yes,800
deg_baseline_2x2,blur_only,ai,no,no,293
deg_baseline_2x2,blur_only,ai,no,yes,119
deg_baseline_2x2,blur_only,ai,yes,no,188
deg_baseline_2x2,blur_only,ai,yes,yes,200
deg_baseline_2x2,blur_only,blur,no,no,0
deg_baseline_2x2,blur_only,blur,no,yes,0
deg_baseline_2x2,blur_only,blur,yes,no,81
deg_baseline_2x2,blur_only,blur,yes,yes,719
deg_baseline_2x2,blur_only,jpeg,no,no,752
deg_baseline_2x2,blur_only,jpeg,no,yes,48
deg_baseline_2x2,blur_only,jpeg,yes,no,0
deg_baseline_2x2,blur_only,jpeg,yes,yes,0
deg_baseline_2x2,both,ai,no,no,227
deg_baseline_2x2,both,ai,no,yes,189
deg_baseline_2x2,both,ai,yes,no,174
deg_baseline_2x2,both,ai,yes,yes,210
deg_baseline_2x2,both,blur,no,no,0
deg_baseline_2x2,both,blur,no,yes,0
deg_baseline_2x2,both,blur,yes,no,104
deg_baseline_2x2,both,blur,yes,yes,696
deg_baseline_2x2,both,jpeg,no,no,0
deg_baseline_2x2,both,jpeg,no,yes,0
deg_baseline_2x2,both,jpeg,yes,no,0
deg_baseline_2x2,both,jpeg,yes,yes,800
deg_baseline_2x2,seen,ai,no,no,226
deg_baseline_2x2,seen,ai,no,yes,190
deg_baseline_2x2,seen,ai,yes,no,174
deg_baseline_2x2,seen,ai,yes,yes,210
deg_baseline_2x2,seen,blur,no,no,112
deg_baseline_2x2,seen,blur,no,yes,122
deg_baseline_2x2,seen,blur,yes,no,60
deg_baseline_2x2,seen,blur,yes,yes,506
deg_baseline_2x2,seen,jpeg,no,no,122
deg_baseline_2x2,seen,jpeg,no,yes,9
deg_baseline_2x2,seen,jpeg,yes,no,0
deg_baseline_2x2,seen,jpeg,yes,yes,669
deg_baseline_2x2,unseen,ai,no,no,206
deg_baseline_2x2,unseen,ai,no,yes,210
deg_baseline_2x2,unseen,ai,yes,no,168
deg_baseline_2x2,unseen,ai,yes,yes,216
deg_baseline_2x2,unseen,blur,no,no,0
deg_baseline_2x2,unseen,blur,no,yes,0
deg_baseline_2x2,unseen,blur,yes,no,104
deg_baseline_2x2,unseen,blur,yes,yes,696
deg_baseline_2x2,unseen,jpeg,no,no,0
deg_baseline_2x2,unseen,jpeg,no,yes,0
deg_baseline_2x2,unseen,jpeg,yes,no,0
deg_baseline_2x2,unseen,jpeg,yes,yes,800
deg_renyi4_2x2,clean,ai,no,no,398
deg_renyi4_2x2,clean,ai,no,yes,23
deg_renyi4_2x2,clean,ai,yes,no,122
deg_renyi4_2x2,clean,ai,yes,yes,257
deg_renyi4_2x2,clean,blur,no,no,412
deg_renyi4_2x2,clean,blur,no,yes,388
deg_renyi4_2x2,clean,blur,yes,no,0
deg_renyi4_2x2,clean,blur,yes,yes,0
deg_renyi4_2x2,clean,jpeg,no,no,670
deg_renyi4_2x2,clean,jpeg,no,yes,130
deg_renyi4_2x2,clean,jpeg,yes,no,0
deg_renyi4_2x2,clean,jpeg,yes,yes,0
deg_renyi4_2x2,jpeg_only,ai,no,no,237
deg_renyi4_2x2,jpeg_only,ai,no,yes,179
deg_renyi4_2x2,jpeg_only,ai,yes,no,165
deg_renyi4_2x2,jpeg_only,ai,yes,yes,219
deg_renyi4_2x2,jpeg_only,blur,no,no,382
deg_renyi4_2x2,jpeg_only,blur,no,yes,418
deg_renyi4_2x2,jpeg_only,blur,yes,no,0
deg_renyi4_2x2,jpeg_only,blur,yes,yes,0
deg_renyi4_2x2,jpeg_only,jpeg,no,no,0
deg_renyi4_2x2,jpeg_only,jpeg,no,yes,0
deg_renyi4_2x2,jpeg_only,jpeg,yes,no,0
deg_renyi4_2x2,jpeg_only,jpeg,yes,yes,800
deg_renyi4_2x2,blur_only,ai,no,no,341
deg_renyi4_2x2,blur_only,ai,no,yes,71
deg_renyi4_2x2,blur_only,ai,yes,no,233
deg_renyi4_2x2,blur_only,ai,yes,yes,155
deg_renyi4_2x2,blur_only,blur,no,no,0
deg_renyi4_2x2,blur_only,blur,no,yes,0
deg_renyi4_2x2,blur_only,blur,yes,no,76
deg_renyi4_2x2,blur_only,blur,yes,yes,724
deg_renyi4_2x2,blur_only,jpeg,no,no,764
deg_renyi4_2x2,blur_only,jpeg,no,yes,36
deg_renyi4_2x2,blur_only,jpeg,yes,no,0
deg_renyi4_2x2,blur_only,jpeg,yes,yes,0
deg_renyi4_2x2,both,ai,no,no,232
deg_renyi4_2x2,both,ai,no,yes,184
deg_renyi4_2x2,both,ai,yes,no,164
deg_renyi4_2x2,both,ai,yes,yes,220
deg_renyi4_2x2,both,blur,no,no,0
deg_renyi4_2x2,both,blur,no,yes,0
deg_renyi4_2x2,both,blur,yes,no,106
deg_renyi4_2x2,both,blur,yes,yes,694
deg_renyi4_2x2,both,jpeg,no,no,0
deg_renyi4_2x2,both,jpeg,no,yes,0
deg_renyi4_2x2,both,jpeg,yes,no,0
deg_renyi4_2x2,both,jpeg,yes,yes,800
deg_renyi4_2x2,seen,ai,no,no,248
deg_renyi4_2x2,seen,ai,no,yes,168
deg_renyi4_2x2,seen,ai,yes,no,185
deg_renyi4_2x2,seen,ai,yes,yes,199
deg_renyi4_2x2,seen,blur,no,no,110
deg_renyi4_2x2,seen,blur,no,yes,124
deg_renyi4_2x2,seen,blur,yes,no,63
deg_renyi4_2x2,seen,blur,yes,yes,503
deg_renyi4_2x2,seen,jpeg,no,no,125
deg_renyi4_2x2,seen,jpeg,no,yes,6
deg_renyi4_2x2,seen,jpeg,yes,no,0
deg_renyi4_2x2,seen,jpeg,yes,yes,669
deg_renyi4_2x2,unseen,ai,no,no,213
deg_renyi4_2x2,unseen,ai,no,yes,203
deg_renyi4_2x2,unseen,ai,yes,no,188
deg_renyi4_2x2,unseen,ai,yes,yes,196
deg_renyi4_2x2,unseen,blur,no,no,0
deg_renyi4_2x2,unseen,blur,no,yes,0
deg_renyi4_2x2,unseen,blur,yes,no,106
deg_renyi4_2x2,unseen,blur,yes,yes,694
deg_renyi4_2x2,unseen,jpeg,no,no,0
deg_renyi4_2x2,unseen,jpeg,no,yes,0
deg_renyi4_2x2,unseen,jpeg,yes,no,0
deg_renyi4_2x2,unseen,jpeg,yes,yes,800
