group,stage,config,classifier,clean_roc_auc,delta_vs_A,mean_corrupt_roc_auc
A_shannon,deep,ent_A_shannon,mlep,0.995592,0,0.48701
B_renyi,deep,ent_B_renyi2,mlep,0.996129,0.000537772,0.493265
B_renyi,deep,ent_B_renyi4,mlep,0.996745,0.00115371,0.495402
C_tsallis,deep,ent_C_tsallis2,mlep,0.995385,-0.000206354,0.493234
C_tsallis,deep,ent_C_tsallis4,mlep,0.996279,0.000687848,0.50654
