config,condition,head,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
deg_baseline_2x2,clean,ai,800,379,0.875021,0.893122,0.81875,0.817935,0.794195,0.80589,0.183797,0.204936,0.254307
deg_baseline_2x2,clean,blur,800,0,nan,nan,0.51375,0,0,0,nan,0.306455,nan
deg_baseline_2x2,clean,jpeg,800,0,nan,nan,0.8225,0,0,0,nan,0.139851,nan
deg_baseline_2x2,jpeg_only,ai,800,384,0.560209,0.549369,0.53375,0.512881,0.570312,0.540074,0.467448,0.252096,0.0381857
deg_baseline_2x2,jpeg_only,blur,800,0,nan,nan,0.49375,0,0,0,nan,0.307646,nan
deg_baseline_2x2,jpeg_only,jpeg,800,800,nan,nan,1,1,1,1,nan,0.000768684,nan
deg_baseline_2x2,blur_only,ai,800,388,0.667923,0.666053,0.61625,0.628571,0.510309,0.5633,0.378753,0.232392,0.0595261
deg_baseline_2x2,blur_only,blur,800,800,nan,nan,0.89875,1,0.89875,0.946675,nan,0.077502,nan
deg_baseline_2x2,blur_only,jpeg,800,0,nan,nan,0.94,0,0,0,nan,0.047363,nan
deg_baseline_2x2,both,ai,800,384,0.574623,0.560287,0.5475,0.5275,0.549479,0.538265,0.45002,0.24959,0.034158
deg_baseline_2x2,both,blur,800,800,nan,nan,0.87,1,0.87,0.930481,nan,0.0959257,nan
deg_baseline_2x2,both,jpeg,800,800,nan,nan,1,1,1,1,nan,0.000259434,nan
deg_baseline_2x2,seen,ai,800,384,0.574266,0.567985,0.54125,0.521092,0.546875,0.533672,0.458734,0.247236,0.0244978
deg_baseline_2x2,seen,blur,800,566,0.821759,0.921264,0.77,0.803175,0.893993,0.846154,0.24282,0.153513,0.0380601
deg_baseline_2x2,seen,jpeg,800,669,0.99806,0.999597,0.98875,0.986726,1,0.993318,0.0136127,0.00887186,0.00898676
deg_baseline_2x2,unseen,ai,800,384,0.541094,0.514848,0.525,0.504673,0.5625,0.53202,0.46865,0.251736,0.0334902
deg_baseline_2x2,unseen,blur,800,800,nan,nan,0.87,1,0.87,0.930481,nan,0.0986792,nan
deg_baseline_2x2,unseen,jpeg,800,800,nan,nan,1,1,1,1,nan,0.000596925,nan
