config,condition,matrix,true,pred,count
deg_baseline_2x2,clean,ai,no,no,359
deg_baseline_2x2,clean,ai,no,yes,55
deg_baseline_2x2,clean,ai,yes,no,90
deg_baseline_2x2,clean,ai,yes,yes,296
deg_baseline_2x2,clean,blur,no,no,325
deg_baseline_2x2,clean,blur,no,yes,475
deg_baseline_2x2,clean,blur,yes,no,0
deg_baseline_2x2,clean,blur,yes,yes,0
deg_baseline_2x2,clean,jpeg,no,no,710
deg_baseline_2x2,clean,jpeg,no,yes,90
deg_baseline_2x2,clean,jpeg,yes,no,0
deg_baseline_2x2,clean,jpeg,yes,yes,0
deg_baseline_2x2,jpeg_only,ai,no,no,282
deg_baseline_2x2,jpeg_only,ai,no,yes,83
deg_baseline_2x2,jpeg_only,ai,yes,no,310
deg_baseline_2x2,jpeg_only,ai,yes,yes,125
deg_baseline_2x2,jpeg_only,blur,no,no,435
deg_baseline_2x2,jpeg_only,blur,no,yes,365
deg_baseline_2x2,jpeg_only,blur,yes,no,0
deg_baseline_2x2,jpeg_only,blur,yes,yes,0
deg_baseline_2x2,jpeg_only,jpeg,no,no,0
deg_baseline_2x2,jpeg_only,jpeg,no,yes,0
deg_baseline_2x2,jpeg_only,jpeg,yes,no,2
deg_baseline_2x2,jpeg_only,jpeg,yes,yes,798
deg_baseline_2x2,blur_only,ai,no,no,320
deg_baseline_2x2,blur_only,ai,no,yes,87
deg_baseline_2x2,blur_only,ai,yes,no,233
deg_baseline_2x2,blur_only,ai,yes,yes,160
deg_baseline_2x2,blur_only,blur,no,no,0
deg_baseline_2x2,blur_only,blur,no,yes,0
deg_baseline_2x2,blur_only,blur,yes,no,50
deg_baseline_2x2,blur_only,blur,yes,yes,750
deg_baseline_2x2,blur_only,jpeg,no,no,778
deg_baseline_2x2,blur_only,jpeg,no,yes,22
deg_baseline_2x2,blur_only,jpeg,yes,no,0
deg_baseline_2x2,blur_only,jpeg,yes,yes,0
deg_baseline_2x2,both,ai,no,no,126
deg_baseline_2x2,both,ai,no,yes,239
deg_baseline_2x2,both,ai,yes,no,117
deg_baseline_2x2,both,ai,yes,yes,318
deg_baseline_2x2,both,blur,no,no,0
deg_baseline_2x2,both,blur,no,yes,0
deg_baseline_2x2,both,blur,yes,no,131
deg_baseline_2x2,both,blur,yes,yes,669
deg_baseline_2x2,both,jpeg,no,no,0
deg_baseline_2x2,both,jpeg,no,yes,0
deg_baseline_2x2,both,jpeg,yes,no,1
deg_baseline_2x2,both,jpeg,yes,yes,799
deg_baseline_2x2,seen,ai,no,no,200
deg_baseline_2x2,seen,ai,no,yes,165
deg_baseline_2x2,seen,ai,yes,no,193
deg_baseline_2x2,seen,ai,yes,yes,242
deg_baseline_2x2,seen,blur,no,no,132
deg_baseline_2x2,seen,blur,no,yes,106
deg_baseline_2x2,seen,blur,yes,no,89
deg_baseline_2x2,seen,blur,yes,yes,473
deg_baseline_2x2,seen,jpeg,no,no,135
deg_baseline_2x2,seen,jpeg,no,yes,5
deg_baseline_2x2,seen,jpeg,yes,no,1
deg_baseline_2x2,seen,jpeg,yes,yes,659
deg_baseline_2x2,unseen,ai,no,no,112
deg_baseline_2x2,unseen,ai,no,yes,253
deg_baseline_2x2,unseen,ai,yes,no,109
deg_baseline_2x2,unseen,ai,yes,yes,326
deg_baseline_2x2,unseen,blur,no,no,0
deg_baseline_2x2,unseen,blur,no,yes,0
deg_baseline_2x2,unseen,blur,yes,no,126
deg_baseline_2x2,unseen,blur,yes,yes,674
deg_baseline_2x2,unseen,jpeg,no,no,0
deg_baseline_2x2,unseen,jpeg,no,yes,0
deg_baseline_2x2,unseen,jpeg,yes,no,3
deg_baseline_2x2,unseen,jpeg,yes,yes,797
deg_renyi4_2x2,clean,ai,no,no,295
deg_renyi4_2x2,clean,ai,no,yes,119
deg_renyi4_2x2,clean,ai,yes,no,72
deg_renyi4_2x2,clean,ai,yes,yes,314
deg_renyi4_2x2,clean,blur,no,no,382
deg_renyi4_2x2,clean,blur,no,yes,418
deg_renyi4_2x2,clean,blur,yes,no,0
deg_renyi4_2x2,clean,blur,yes,yes,0
deg_renyi4_2x2,clean,jpeg,no,no,730
deg_renyi4_2x2,clean,jpeg,no,yes,70
deg_renyi4_2x2,clean,jpeg,yes,no,0
deg_renyi4_2x2,clean,jpeg,yes,yes,0
deg_renyi4_2x2,jpeg_only,ai,no,no,270
deg_renyi4_2x2,jpeg_only,ai,no,yes,95
deg_renyi4_2x2,jpeg_only,ai,yes,no,290
deg_renyi4_2x2,jpeg_only,ai,yes,yes,145
deg_renyi4_2x2,jpeg_only,blur,no,no,420
deg_renyi4_2x2,jpeg_only,blur,no,yes,380
deg_renyi4_2x2,jpeg_only,blur,yes,no,0
deg_renyi4_2x2,jpeg_only,blur,yes,yes,0
deg_renyi4_2x2,jpeg_only,jpeg,no,no,0
deg_renyi4_2x2,jpeg_only,jpeg,no,yes,0
deg_renyi4_2x2,jpeg_only,jpeg,yes,no,2
deg_renyi4_2x2,jpeg_only,jpeg,yes,yes,798
deg_renyi4_2x2,blur_only,ai,no,no,313
deg_renyi4_2x2,blur_only,ai,no,yes,94
deg_renyi4_2x2,blur_only,ai,yes,no,244
deg_renyi4_2x2,blur_only,ai,yes,yes,149
deg_renyi4_2x2,blur_only,blur,no,no,0
deg_renyi4_2x2,blur_only,blur,no,yes,0
deg_renyi4_2x2,blur_only,blur,yes,no,62
deg_renyi4_2x2,blur_only,blur,yes,yes,738
deg_renyi4_2x2,blur_only,jpeg,no,no,785
deg_renyi4_2x2,blur_only,jpeg,no,yes,15
deg_renyi4_2x2,blur_only,jpeg,yes,no,0
deg_renyi4_2x2,blur_only,jpeg,yes,yes,0
deg_renyi4_2x2,both,ai,no,no,148
deg_renyi4_2x2,both,ai,no,yes,217
deg_renyi4_2x2,both,ai,yes,no,137
deg_renyi4_2x2,both,ai,yes,yes,298
deg_renyi4_2x2,both,blur,no,no,0
deg_renyi4_2x2,both,blur,no,yes,0
deg_renyi4_2x2,both,blur,yes,no,126
deg_renyi4_2x2,both,blur,yes,yes,674
deg_renyi4_2x2,both,jpeg,no,no,0
deg_renyi4_2x2,both,jpeg,no,yes,0
deg_renyi4_2x2,both,jpeg,yes,no,0
deg_renyi4_2x2,both,jpeg,yes,yes,800
deg_renyi4_2x2,seen,ai,no,no,200
deg_renyi4_2x2,seen,ai,no,yes,165
deg_renyi4_2x2,seen,ai,yes,no,207
deg_renyi4_2x2,seen,ai,yes,yes,228
deg_renyi4_2x2,seen,blur,no,no,131
deg_renyi4_2x2,seen,blur,no,yes,107
deg_renyi4_2x2,seen,blur,yes,no,87
deg_renyi4_2x2,seen,blur,yes,yes,475
deg_renyi4_2x2,seen,jpeg,no,no,138
deg_renyi4_2x2,seen,jpeg,no,yes,2
deg_renyi4_2x2,seen,jpeg,yes,no,1
deg_renyi4_2x2,seen,jpeg,yes,yes,659
deg_renyi4_2x2,unseen,ai,no,no,152
deg_renyi4_2x2,unseen,ai,no,yes,213
deg_renyi4_2x2,unseen,ai,yes,no,138
deg_renyi4_2x2,unseen,ai,yes,yes,297
deg_renyi4_2x2,unseen,blur,no,no,0
deg_renyi4_2x2,unseen,blur,no,yes,0
deg_renyi4_2x2,unseen,blur,yes,no,115
deg_renyi4_2x2,unseen,blur,yes,yes,685
deg_renyi4_2x2,unseen,jpeg,no,no,0
deg_renyi4_2x2,unseen,jpeg,no,yes,0
deg_renyi4_2x2,unseen,jpeg,yes,no,1
deg_renyi4_2x2,unseen,jpeg,yes,yes,799
