group,stage,config,classifier,clean_roc_auc,delta_vs_A,mean_corrupt_roc_auc
A_shannon,deep,ent_A_shannon,mlep,0.993498,0,0.536873
B_renyi,deep,ent_B_renyi2,mlep,0.99428,0.000782208,0.544808
B_renyi,deep,ent_B_renyi4,mlep,0.993279,-0.000219018,0.549563
C_tsallis,deep,ent_C_tsallis2,mlep,0.992219,-0.00127969,0.525798
C_tsallis,deep,ent_C_tsallis4,mlep,0.993608,0.000109509,0.527464
