config,condition,matrix,true,pred,count
deg_baseline_2x2,clean,ai,no,no,815
deg_baseline_2x2,clean,ai,no,yes,4
deg_baseline_2x2,clean,ai,yes,no,2
deg_baseline_2x2,clean,ai,yes,yes,779
deg_baseline_2x2,clean,blur,no,no,1579
deg_baseline_2x2,clean,blur,no,yes,21
deg_baseline_2x2,clean,blur,yes,no,0
deg_baseline_2x2,clean,blur,yes,yes,0
deg_baseline_2x2,clean,jpeg,no,no,1598
deg_baseline_2x2,clean,jpeg,no,yes,2
deg_baseline_2x2,clean,jpeg,yes,no,0
deg_baseline_2x2,clean,jpeg,yes,yes,0
deg_baseline_2x2,jpeg_only,ai,no,no,510
deg_baseline_2x2,jpeg_only,ai,no,yes,303
deg_baseline_2x2,jpeg_only,ai,yes,no,276
deg_baseline_2x2,jpeg_only,ai,yes,yes,511
deg_baseline_2x2,jpeg_only,blur,no,no,932
deg_baseline_2x2,jpeg_only,blur,no,yes,668
deg_baseline_2x2,jpeg_only,blur,yes,no,0
deg_baseline_2x2,jpeg_only,blur,yes,yes,0
deg_baseline_2x2,jpeg_only,jpeg,no,no,0
deg_baseline_2x2,jpeg_only,jpeg,no,yes,0
deg_baseline_2x2,jpeg_only,jpeg,yes,no,2
deg_baseline_2x2,jpeg_only,jpeg,yes,yes,1598
deg_baseline_2x2,blur_only,ai,no,no,490
deg_baseline_2x2,blur_only,ai,no,yes,318
deg_baseline_2x2,blur_only,ai,yes,no,45
deg_baseline_2x2,blur_only,ai,yes,yes,747
deg_baseline_2x2,blur_only,blur,no,no,0
deg_baseline_2x2,blur_only,blur,no,yes,0
deg_baseline_2x2,blur_only,blur,yes,no,174
deg_baseline_2x2,blur_only,blur,yes,yes,1426
deg_baseline_2x2,blur_only,jpeg,no,no,1600
deg_baseline_2x2,blur_only,jpeg,no,yes,0
deg_baseline_2x2,blur_only,jpeg,yes,no,0
deg_baseline_2x2,blur_only,jpeg,yes,yes,0
deg_baseline_2x2,both,ai,no,no,398
deg_baseline_2x2,both,ai,no,yes,415
deg_baseline_2x2,both,ai,yes,no,248
deg_baseline_2x2,both,ai,yes,yes,539
deg_baseline_2x2,both,blur,no,no,0
deg_baseline_2x2,both,blur,no,yes,0
deg_baseline_2x2,both,blur,yes,no,219
deg_baseline_2x2,both,blur,yes,yes,1381
deg_baseline_2x2,both,jpeg,no,no,0
deg_baseline_2x2,both,jpeg,no,yes,0
deg_baseline_2x2,both,jpeg,yes,no,1
deg_baseline_2x2,both,jpeg,yes,yes,1599
deg_baseline_2x2,seen,ai,no,no,470
deg_baseline_2x2,seen,ai,no,yes,343
deg_baseline_2x2,seen,ai,yes,no,222
deg_baseline_2x2,seen,ai,yes,yes,565
deg_baseline_2x2,seen,blur,no,no,295
deg_baseline_2x2,seen,blur,no,yes,172
deg_baseline_2x2,seen,blur,yes,no,164
deg_baseline_2x2,seen,blur,yes,yes,969
deg_baseline_2x2,seen,jpeg,no,no,254
deg_baseline_2x2,seen,jpeg,no,yes,0
deg_baseline_2x2,seen,jpeg,yes,no,0
deg_baseline_2x2,seen,jpeg,yes,yes,1346
deg_baseline_2x2,unseen,ai,no,no,417
deg_baseline_2x2,unseen,ai,no,yes,396
deg_baseline_2x2,unseen,ai,yes,no,293
deg_baseline_2x2,unseen,ai,yes,yes,494
deg_baseline_2x2,unseen,blur,no,no,0
deg_baseline_2x2,unseen,blur,no,yes,0
deg_baseline_2x2,unseen,blur,yes,no,209
deg_baseline_2x2,unseen,blur,yes,yes,1391
deg_baseline_2x2,unseen,jpeg,no,no,0
deg_baseline_2x2,unseen,jpeg,no,yes,0
deg_baseline_2x2,unseen,jpeg,yes,no,0
deg_baseline_2x2,unseen,jpeg,yes,yes,1600
