config,condition,head,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
deg_baseline_2x2,clean,ai,800,409,0.919309,0.939951,0.75625,0.695255,0.93154,0.796238,0.151242,0.189989,0.276011
deg_baseline_2x2,clean,blur,800,0,nan,nan,0.2975,0,0,0,nan,0.434877,nan
deg_baseline_2x2,clean,jpeg,800,0,nan,nan,0.91875,0,0,0,nan,0.0738949,nan
deg_baseline_2x2,jpeg_only,ai,800,428,0.589109,0.601162,0.55,0.577982,0.588785,0.583333,0.448761,0.243498,0.0312378
deg_baseline_2x2,jpeg_only,blur,800,0,nan,nan,0.48375,0,0,0,nan,0.314106,nan
deg_baseline_2x2,jpeg_only,jpeg,800,800,nan,nan,0.9975,1,0.9975,0.998748,nan,0.00319099,nan
deg_baseline_2x2,blur_only,ai,800,393,0.681431,0.664493,0.52875,0.511019,0.94402,0.663092,0.357478,0.247758,0.127746
deg_baseline_2x2,blur_only,blur,800,800,nan,nan,0.97,1,0.97,0.984772,nan,0.0344151,nan
deg_baseline_2x2,blur_only,jpeg,800,0,nan,nan,0.97375,0,0,0,nan,0.0224672,nan
deg_baseline_2x2,both,ai,800,428,0.540546,0.564186,0.53375,0.553398,0.665888,0.604454,0.462491,0.247673,0.0277366
deg_baseline_2x2,both,blur,800,800,nan,nan,0.8625,1,0.8625,0.926174,nan,0.0935119,nan
deg_baseline_2x2,both,jpeg,800,800,nan,nan,0.9975,1,0.9975,0.998748,nan,0.00168064,nan
deg_baseline_2x2,seen,ai,800,428,0.585541,0.633788,0.56625,0.57685,0.71028,0.636649,0.452442,0.241784,0.0131474
deg_baseline_2x2,seen,blur,800,559,0.800221,0.901306,0.76,0.7936,0.887299,0.837838,0.269917,0.161493,0.0239478
deg_baseline_2x2,seen,jpeg,800,669,0.999178,0.999837,0.99375,0.995522,0.99701,0.996266,0.00912836,0.00565669,0.0133826
deg_baseline_2x2,unseen,ai,800,428,0.542885,0.575263,0.53125,0.559819,0.579439,0.56946,0.470028,0.247652,0.028691
deg_baseline_2x2,unseen,blur,800,800,nan,nan,0.8475,1,0.8475,0.917456,nan,0.100657,nan
deg_baseline_2x2,unseen,jpeg,800,800,nan,nan,0.99625,1,0.99625,0.998121,nan,0.00280113,nan
deg_renyi4_2x2,clean,ai,800,409,0.94006,0.957058,0.775,0.710092,0.94621,0.811321,0.12623,0.186408,0.296025
deg_renyi4_2x2,clean,blur,800,0,nan,nan,0.26125,0,0,0,nan,0.462088,nan
deg_renyi4_2x2,clean,jpeg,800,0,nan,nan,0.90375,0,0,0,nan,0.0784998,nan
deg_renyi4_2x2,jpeg_only,ai,800,428,0.58094,0.592114,0.55875,0.591687,0.565421,0.578256,0.437544,0.244652,0.0372863
deg_renyi4_2x2,jpeg_only,blur,800,0,nan,nan,0.5,0,0,0,nan,0.309149,nan
deg_renyi4_2x2,jpeg_only,jpeg,800,800,nan,nan,0.9975,1,0.9975,0.998748,nan,0.00314508,nan
deg_renyi4_2x2,blur_only,ai,800,393,0.688711,0.673512,0.535,0.514727,0.933842,0.663653,0.355021,0.241712,0.115897
deg_renyi4_2x2,blur_only,blur,800,800,nan,nan,0.975,1,0.975,0.987342,nan,0.0287133,nan
deg_renyi4_2x2,blur_only,jpeg,800,0,nan,nan,0.9725,0,0,0,nan,0.0231531,nan
deg_renyi4_2x2,both,ai,800,428,0.527905,0.552985,0.535,0.556,0.649533,0.599138,0.466172,0.249151,0.0299134
deg_renyi4_2x2,both,blur,800,800,nan,nan,0.86125,1,0.86125,0.925453,nan,0.0952954,nan
deg_renyi4_2x2,both,jpeg,800,800,nan,nan,0.9975,1,0.9975,0.998748,nan,0.00217866,nan
deg_renyi4_2x2,seen,ai,800,428,0.591436,0.643537,0.56125,0.574468,0.693925,0.628571,0.44993,0.241308,0.0241159
deg_renyi4_2x2,seen,blur,800,559,0.801613,0.900338,0.77,0.802908,0.889088,0.843803,0.275856,0.160961,0.0399012
deg_renyi4_2x2,seen,jpeg,800,669,0.999036,0.999805,0.995,0.99701,0.99701,0.99701,0.018097,0.00582514,0.0127722
deg_renyi4_2x2,unseen,ai,800,428,0.544757,0.579672,0.5225,0.554762,0.544393,0.549528,0.47254,0.248121,0.0400187
deg_renyi4_2x2,unseen,blur,800,800,nan,nan,0.83875,1,0.83875,0.912305,nan,0.106192,nan
deg_renyi4_2x2,unseen,jpeg,800,800,nan,nan,0.99625,1,0.99625,0.998121,nan,0.00282572,nan
