config,condition,matrix,true,pred,count
deg_baseline_2x2,clean,ai,no,no,353
deg_baseline_2x2,clean,ai,no,yes,68
deg_baseline_2x2,clean,ai,yes,no,75
deg_baseline_2x2,clean,ai,yes,yes,304
deg_baseline_2x2,clean,blur,no,no,412
deg_baseline_2x2,clean,blur,no,yes,388
deg_baseline_2x2,clean,blur,yes,no,0
deg_baseline_2x2,clean,blur,yes,yes,0
deg_baseline_2x2,clean,jpeg,no,no,658
deg_baseline_2x2,clean,jpeg,no,yes,142
deg_baseline_2x2,clean,jpeg,yes,no,0
deg_baseline_2x2,clean,jpeg,yes,yes,0
deg_baseline_2x2,jpeg_only,ai,no,no,208
deg_baseline_2x2,jpeg_only,ai,no,yes,208
deg_baseline_2x2,jpeg_only,ai,yes,no,167
deg_baseline_2x2,jpeg_only,ai,yes,yes,217
deg_baseline_2x2,jpeg_only,blur,no,no,394
deg_baseline_2x2,jpeg_only,blur,no,yes,406
deg_baseline_2x2,jpeg_only,blur,yes,no,0
deg_baseline_2x2,jpeg_only,blur,yes,yes,0
deg_baseline_2x2,jpeg_only,jpeg,no,no,0
deg_baseline_2x2,jpeg_only,jpeg,no,yes,0
deg_baseline_2x2,jpeg_only,jpeg,yes,no,0
deg_baseline_2x2,jpeg_only,jpeg,yes,yes,800
deg_baseline_2x2,blur_only,ai,no,no,294
deg_baseline_2x2,blur_only,ai,no,yes,118
deg_baseline_2x2,blur_only,ai,yes,no,188
deg_baseline_2x2,blur_only,ai,yes,yes,200
deg_baseline_2x2,blur_only,blur,no,no,0
deg_baseline_2x2,blur_only,blur,no,yes,0
deg_baseline_2x2,blur_only,blur,yes,no,81
deg_baseline_2x2,blur_only,blur,yes,yes,719
deg_baseline_2x2,blur_only,jpeg,no,no,752
deg_baseline_2x2,blur_only,jpeg,no,yes,48
deg_baseline_2x2,blur_only,jpeg,yes,no,0
deg_baseline_2x2,blur_only,jpeg,yes,yes,0
deg_baseline_2x2,both,ai,no,no,227
deg_baseline_2x2,both,ai,no,yes,189
deg_baseline_2x2,both,ai,yes,no,173
deg_baseline_2x2,both,ai,yes,yes,211
deg_baseline_2x2,both,blur,no,no,0
deg_baseline_2x2,both,blur,no,yes,0
deg_baseline_2x2,both,blur,yes,no,104
deg_baseline_2x2,both,blur,yes,yes,696
deg_baseline_2x2,both,jpeg,no,no,0
deg_baseline_2x2,both,jpeg,no,yes,0
deg_baseline_2x2,both,jpeg,yes,no,0
deg_baseline_2x2,both,jpeg,yes,yes,800
deg_baseline_2x2,seen,ai,no,no,225
deg_baseline_2x2,seen,ai,no,yes,191
deg_baseline_2x2,seen,ai,yes,no,174
deg_baseline_2x2,seen,ai,yes,yes,210
deg_baseline_2x2,seen,blur,no,no,111
deg_baseline_2x2,seen,blur,no,yes,123
deg_baseline_2x2,seen,blur,yes,no,60
deg_baseline_2x2,seen,blur,yes,yes,506
deg_baseline_2x2,seen,jpeg,no,no,122
deg_baseline_2x2,seen,jpeg,no,yes,9
deg_baseline_2x2,seen,jpeg,yes,no,0
deg_baseline_2x2,seen,jpeg,yes,yes,669
deg_baseline_2x2,unseen,ai,no,no,207
deg_baseline_2x2,unseen,ai,no,yes,209
deg_baseline_2x2,unseen,ai,yes,no,169
deg_baseline_2x2,unseen,ai,yes,yes,215
deg_baseline_2x2,unseen,blur,no,no,0
deg_baseline_2x2,unseen,blur,no,yes,0
deg_baseline_2x2,unseen,blur,yes,no,105
deg_baseline_2x2,unseen,blur,yes,yes,695
deg_baseline_2x2,unseen,jpeg,no,no,0
deg_baseline_2x2,unseen,jpeg,no,yes,0
deg_baseline_2x2,unseen,jpeg,yes,no,0
deg_baseline_2x2,unseen,jpeg,yes,yes,800
deg_renyi4_2x2,clean,ai,no,no,397
deg_renyi4_2x2,clean,ai,no,yes,24
deg_renyi4_2x2,clean,ai,yes,no,123
deg_renyi4_2x2,clean,ai,yes,yes,256
deg_renyi4_2x2,clean,blur,no,no,412
deg_renyi4_2x2,clean,blur,no,yes,388
deg_renyi4_2x2,clean,blur,yes,no,0
deg_renyi4_2x2,clean,blur,yes,yes,0
deg_renyi4_2x2,clean,jpeg,no,no,670
deg_renyi4_2x2,clean,jpeg,no,yes,130
deg_renyi4_2x2,clean,jpeg,yes,no,0
deg_renyi4_2x2,clean,jpeg,yes,yes,0
deg_renyi4_2x2,jpeg_only,ai,no,no,237
deg_renyi4_2x2,jpeg_only,ai,no,yes,179
deg_renyi4_2x2,jpeg_only,ai,yes,no,166
deg_renyi4_2x2,jpeg_only,ai,yes,yes,218
deg_renyi4_2x2,jpeg_only,blur,no,no,383
deg_renyi4_2x2,jpeg_only,blur,no,yes,417
deg_renyi4_2x2,jpeg_only,blur,yes,no,0
deg_renyi4_2x2,jpeg_only,blur,yes,yes,0
deg_renyi4_2x2,jpeg_only,jpeg,no,no,0
deg_renyi4_2x2,jpeg_only,jpeg,no,yes,0
deg_renyi4_2x2,jpeg_only,jpeg,yes,no,0
deg_renyi4_2x2,jpeg_only,jpeg,yes,yes,800
deg_renyi4_2x2,blur_only,ai,no,no,340
deg_renyi4_2x2,blur_only,ai,no,yes,72
deg_renyi4_2x2,blur_only,ai,yes,no,231
deg_renyi4_2x2,blur_only,ai,yes,yes,157
deg_renyi4_2x2,blur_only,blur,no,no,0
deg_renyi4_2x2,blur_only,blur,no,yes,0
deg_renyi4_2x2,blur_only,blur,yes,no,76
deg_renyi4_2x2,blur_only,blur,yes,yes,724
deg_renyi4_2x2,blur_only,jpeg,no,no,764
deg_renyi4_2x2,blur_only,jpeg,no,yes,36
deg_renyi4_2x2,blur_only,jpeg,yes,no,0
deg_renyi4_2x2,blur_only,jpeg,yes,yes,0
deg_renyi4_2x2,both,ai,no,no,232
deg_renyi4_2x2,both,ai,no,yes,184
deg_renyi4_2x2,both,ai,yes,no,165
deg_renyi4_2x2,both,ai,yes,yes,219
deg_renyi4_2x2,both,blur,no,no,0
deg_renyi4_2x2,both,blur,no,yes,0
deg_renyi4_2x2,both,blur,yes,no,106
deg_renyi4_2x2,both,blur,yes,yes,694
deg_renyi4_2x2,both,jpeg,no,no,0
deg_renyi4_2x2,both,jpeg,no,yes,0
deg_renyi4_2x2,both,jpeg,yes,no,0
deg_renyi4_2x2,both,jpeg,yes,yes,800
deg_renyi4_2x2,seen,ai,no,no,249
deg_renyi4_2x2,seen,ai,no,yes,167
deg_renyi4_2x2,seen,ai,yes,no,185
deg_renyi4_2x2,seen,ai,yes,yes,199
deg_renyi4_2x2,seen,blur,no,no,110
deg_renyi4_2x2,seen,blur,no,yes,124
deg_renyi4_2x2,seen,blur,yes,no,63
deg_renyi4_2x2,seen,blur,yes,yes,503
deg_renyi4_2x2,seen,jpeg,no,no,125
deg_renyi4_2x2,seen,jpeg,no,yes,6
deg_renyi4_2x2,seen,jpeg,yes,no,0
deg_renyi4_2x2,seen,jpeg,yes,yes,669
deg_renyi4_2x2,unseen,ai,no,no,212
deg_renyi4_2x2,unseen,ai,no,yes,204
deg_renyi4_2x2,unseen,ai,yes,no,188
deg_renyi4_2x2,unseen,ai,yes,yes,196
deg_renyi4_2x2,unseen,blur,no,no,0
deg_renyi4_2x2,unseen,blur,no,yes,0
deg_renyi4_2x2,unseen,blur,yes,no,105
deg_renyi4_2x2,unseen,blur,yes,yes,695
deg_renyi4_2x2,unseen,jpeg,no,no,0
deg_renyi4_2x2,unseen,jpeg,no,yes,0
deg_renyi4_2x2,unseen,jpeg,yes,no,0
deg_renyi4_2x2,unseen,jpeg,yes,yes,800
