stage,config,classifier,scenario,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
deep,ent_A_shannon,mlep,clean,800,379,0.99786,0.997932,0.9825,0.984085,0.978892,0.981481,0.0175484,0.0196943,0.0355605
deep,ent_A_shannon,mlep,blur,800,379,0.733785,0.681743,0.5575,0.51809,0.944591,0.669159,0.314949,0.374717,0.380427
deep,ent_A_shannon,mlep,jpeg,800,379,0.428434,0.419945,0.525,0,0,0,0.569996,0.467581,0.465608
deep,ent_A_shannon,mlep,webp,800,379,0.432147,0.419281,0.52375,0,0,0,0.558781,0.471615,0.472548
deep,ent_A_shannon,mlep,blur+jpeg,800,379,0.457169,0.426463,0.52625,0,0,0,0.536219,0.473244,0.472209
deep,ent_B_renyi2,mlep,clean,800,379,0.998339,0.99836,0.9775,0.991826,0.960422,0.975871,0.0162291,0.0184647,0.0361018
deep,ent_B_renyi2,mlep,blur,800,379,0.740745,0.688425,0.55875,0.518841,0.944591,0.669785,0.316269,0.36928,0.368695
deep,ent_B_renyi2,mlep,jpeg,800,379,0.425977,0.41219,0.52625,0,0,0,0.572503,0.471053,0.468247
deep,ent_B_renyi2,mlep,webp,800,379,0.431389,0.421589,0.52625,0,0,0,0.569996,0.471788,0.472657
deep,ent_B_renyi2,mlep,blur+jpeg,800,379,0.457426,0.426384,0.52625,0,0,0,0.546246,0.473498,0.473619
deep,ent_B_renyi4,mlep,clean,800,379,0.998239,0.998195,0.98625,0.991979,0.978892,0.985392,0.0212429,0.0182248,0.0321133
deep,ent_B_renyi4,mlep,blur,800,379,0.752038,0.69948,0.56,0.519149,0.965699,0.675277,0.301227,0.367817,0.373323
deep,ent_B_renyi4,mlep,jpeg,800,379,0.42547,0.414762,0.52625,0,0,0,0.566433,0.47146,0.469638
deep,ent_B_renyi4,mlep,webp,800,379,0.43744,0.43044,0.52625,0.5,0.00263852,0.00524934,0.576198,0.469983,0.469988
deep,ent_B_renyi4,mlep,blur+jpeg,800,379,0.459432,0.431134,0.52625,0,0,0,0.538725,0.473411,0.473711
deep,ent_C_tsallis2,mlep,clean,800,379,0.998245,0.998219,0.9825,0.984085,0.978892,0.981481,0.0271812,0.0194619,0.0306059
deep,ent_C_tsallis2,mlep,blur,800,379,0.743803,0.689729,0.5825,0.532847,0.963061,0.68609,0.321282,0.361967,0.366251
deep,ent_C_tsallis2,mlep,jpeg,800,379,0.445121,0.431447,0.5225,0.2,0.00263852,0.00520833,0.559968,0.464049,0.456219
deep,ent_C_tsallis2,mlep,webp,800,379,0.443826,0.428656,0.52625,0,0,0,0.548753,0.471502,0.471799
deep,ent_C_tsallis2,mlep,blur+jpeg,800,379,0.470171,0.443149,0.52625,0,0,0,0.523816,0.472954,0.472879
deep,ent_C_tsallis4,mlep,clean,800,379,0.998671,0.998569,0.97625,0.994505,0.955145,0.974428,0.0175484,0.0244386,0.0396113
deep,ent_C_tsallis4,mlep,blur,800,379,0.744972,0.687557,0.575,0.528139,0.965699,0.682836,0.311255,0.362495,0.372106
deep,ent_C_tsallis4,mlep,jpeg,800,379,0.43676,0.422176,0.51875,0.125,0.00263852,0.00516796,0.553767,0.467915,0.463288
deep,ent_C_tsallis4,mlep,webp,800,379,0.461704,0.430109,0.525,0,0,0,0.528829,0.471663,0.471673
deep,ent_C_tsallis4,mlep,blur+jpeg,800,379,0.463199,0.434514,0.52625,0,0,0,0.548622,0.472628,0.471207
