config,condition,head,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
deg_baseline_2x2,clean,ai,800,379,0.875206,0.893344,0.82125,0.817204,0.802111,0.809587,0.188811,0.20449,0.255767
deg_baseline_2x2,clean,blur,800,0,nan,nan,0.515,0,0,0,nan,0.305984,nan
deg_baseline_2x2,clean,jpeg,800,0,nan,nan,0.8225,0,0,0,nan,0.140344,nan
deg_baseline_2x2,jpeg_only,ai,800,384,0.561771,0.550312,0.53625,0.515222,0.572917,0.54254,0.461238,0.251914,0.0378964
deg_baseline_2x2,jpeg_only,blur,800,0,nan,nan,0.495,0,0,0,nan,0.307042,nan
deg_baseline_2x2,jpeg_only,jpeg,800,800,nan,nan,1,1,1,1,nan,0.000784436,nan
deg_baseline_2x2,blur_only,ai,800,388,0.668674,0.667052,0.61625,0.626959,0.515464,0.565771,0.372385,0.232341,0.0593132
deg_baseline_2x2,blur_only,blur,800,800,nan,nan,0.89875,1,0.89875,0.946675,nan,0.0777408,nan
deg_baseline_2x2,blur_only,jpeg,800,0,nan,nan,0.94,0,0,0,nan,0.0474697,nan
deg_baseline_2x2,both,ai,800,384,0.574957,0.562109,0.54625,0.526316,0.546875,0.536398,0.452524,0.249458,0.0313135
deg_baseline_2x2,both,blur,800,800,nan,nan,0.87,1,0.87,0.930481,nan,0.0960666,nan
deg_baseline_2x2,both,jpeg,800,800,nan,nan,1,1,1,1,nan,0.000267232,nan
deg_baseline_2x2,seen,ai,800,384,0.575033,0.569512,0.545,0.525,0.546875,0.535714,0.452524,0.247076,0.0241543
deg_baseline_2x2,seen,blur,800,566,0.822038,0.921421,0.7725,0.805732,0.893993,0.847571,0.243703,0.153446,0.038484
deg_baseline_2x2,seen,jpeg,800,669,0.998043,0.999592,0.98875,0.986726,1,0.993318,0.0151074,0.00888938,0.00897737
deg_baseline_2x2,unseen,ai,800,384,0.541582,0.515641,0.5275,0.507042,0.5625,0.533333,0.46264,0.251684,0.0318298
deg_baseline_2x2,unseen,blur,800,800,nan,nan,0.87,1,0.87,0.930481,nan,0.0989093,nan
deg_baseline_2x2,unseen,jpeg,800,800,nan,nan,1,1,1,1,nan,0.000606793,nan
deg_renyi4_2x2,clean,ai,800,379,0.920945,0.904427,0.81875,0.917857,0.6781,0.77997,0.14118,0.179308,0.213857
deg_renyi4_2x2,clean,blur,800,0,nan,nan,0.515,0,0,0,nan,0.305081,nan
deg_renyi4_2x2,clean,jpeg,800,0,nan,nan,0.8375,0,0,0,nan,0.126611,nan
deg_renyi4_2x2,jpeg_only,ai,800,384,0.592842,0.608998,0.57,0.550251,0.570312,0.560102,0.429988,0.247935,0.0546336
deg_renyi4_2x2,jpeg_only,blur,800,0,nan,nan,0.4775,0,0,0,nan,0.303242,nan
deg_renyi4_2x2,jpeg_only,jpeg,800,800,nan,nan,1,1,1,1,nan,0.00083997,nan
deg_renyi4_2x2,blur_only,ai,800,388,0.691472,0.643818,0.62,0.685841,0.399485,0.504886,0.362526,0.229825,0.0698948
deg_renyi4_2x2,blur_only,blur,800,800,nan,nan,0.905,1,0.905,0.950131,nan,0.069084,nan
deg_renyi4_2x2,blur_only,jpeg,800,0,nan,nan,0.955,0,0,0,nan,0.0344387,nan
deg_renyi4_2x2,both,ai,800,384,0.578047,0.567351,0.565,0.544554,0.572917,0.558376,0.438702,0.249115,0.055444
deg_renyi4_2x2,both,blur,800,800,nan,nan,0.8675,1,0.8675,0.92905,nan,0.0962745,nan
deg_renyi4_2x2,both,jpeg,800,800,nan,nan,1,1,1,1,nan,0.000228687,nan
deg_renyi4_2x2,seen,ai,800,384,0.590661,0.594272,0.55875,0.542234,0.518229,0.52996,0.45002,0.243294,0.0219154
deg_renyi4_2x2,seen,blur,800,566,0.826806,0.925411,0.76625,0.802233,0.888693,0.843252,0.252393,0.151796,0.0452681
deg_renyi4_2x2,seen,jpeg,800,669,0.999144,0.999826,0.9925,0.991111,1,0.995536,0.00904848,0.00661512,0.0129097
deg_renyi4_2x2,unseen,ai,800,384,0.538897,0.528678,0.51125,0.491228,0.510417,0.500639,0.488782,0.251401,0.0432415
deg_renyi4_2x2,unseen,blur,800,800,nan,nan,0.8675,1,0.8675,0.92905,nan,0.101703,nan
deg_renyi4_2x2,unseen,jpeg,800,800,nan,nan,1,1,1,1,nan,0.00066869,nan
