stage,config,classifier,scenario,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
deep,ent_A_shannon,mlep,clean,800,386,0.993498,0.993482,0.95375,0.975477,0.927461,0.950863,0.0387537,0.033548,0.0319967
deep,ent_A_shannon,mlep,blur,800,386,0.695158,0.669607,0.6125,0.565292,0.852332,0.679752,0.36501,0.302744,0.267252
deep,ent_A_shannon,mlep,jpeg,800,386,0.477285,0.467101,0.5175,0.5,0.0103627,0.0203046,0.518729,0.477894,0.478155
deep,ent_A_shannon,mlep,webp,800,386,0.489997,0.474718,0.51625,0.4,0.00518135,0.0102302,0.518729,0.477806,0.473557
deep,ent_A_shannon,mlep,blur+jpeg,800,386,0.485054,0.473114,0.5175,0.5,0.00518135,0.0102564,0.528741,0.480577,0.481943
deep,ent_B_renyi2,mlep,clean,800,386,0.99428,0.994117,0.95875,0.97319,0.940415,0.956522,0.0337476,0.0303531,0.0301641
deep,ent_B_renyi2,mlep,blur,800,386,0.703571,0.674481,0.615,0.56701,0.854922,0.681818,0.367513,0.296597,0.258517
deep,ent_B_renyi2,mlep,jpeg,800,386,0.486239,0.472829,0.52,0.6,0.015544,0.030303,0.515018,0.47649,0.476884
deep,ent_B_renyi2,mlep,webp,800,386,0.497728,0.484306,0.51625,0.4,0.00518135,0.0102302,0.51122,0.475147,0.474382
deep,ent_B_renyi2,mlep,blur+jpeg,800,386,0.491693,0.479412,0.5175,0.5,0.00777202,0.0153061,0.532452,0.480072,0.479191
deep,ent_B_renyi4,mlep,clean,800,386,0.993279,0.993037,0.9525,0.972826,0.927461,0.949602,0.03366,0.0344848,0.0320573
deep,ent_B_renyi4,mlep,blur,800,386,0.71618,0.681345,0.6325,0.580702,0.857513,0.692469,0.343777,0.287216,0.246302
deep,ent_B_renyi4,mlep,jpeg,800,386,0.484065,0.47309,0.5175,0.5,0.015544,0.0301508,0.522528,0.475352,0.476706
deep,ent_B_renyi4,mlep,webp,800,386,0.493914,0.48822,0.51625,0.461538,0.015544,0.0300752,0.516314,0.471335,0.469675
deep,ent_B_renyi4,mlep,blur+jpeg,800,386,0.504093,0.485967,0.51875,0.571429,0.0103627,0.0203562,0.518729,0.478546,0.479976
deep,ent_C_tsallis2,mlep,clean,800,386,0.992219,0.992219,0.93875,0.977337,0.893782,0.933694,0.0362507,0.041483,0.0460497
deep,ent_C_tsallis2,mlep,blur,800,386,0.695133,0.663935,0.5825,0.539634,0.917098,0.679463,0.366217,0.340789,0.324425
deep,ent_C_tsallis2,mlep,jpeg,800,386,0.468821,0.457815,0.51875,0.6,0.00777202,0.0153453,0.532452,0.476149,0.474316
deep,ent_C_tsallis2,mlep,webp,800,386,0.459575,0.453516,0.51375,0,0,0,0.541257,0.480172,0.47907
deep,ent_C_tsallis2,mlep,blur+jpeg,800,386,0.479663,0.461356,0.51875,0.666667,0.00518135,0.0102828,0.523735,0.480827,0.481847
deep,ent_C_tsallis4,mlep,clean,800,386,0.993608,0.994403,0.965,0.981183,0.945596,0.963061,0.0287415,0.0307227,0.0348153
deep,ent_C_tsallis4,mlep,blur,800,386,0.692946,0.649482,0.55125,0.519258,0.943005,0.669733,0.354997,0.385375,0.381196
deep,ent_C_tsallis4,mlep,jpeg,800,386,0.460871,0.454897,0.51125,0.368421,0.0181347,0.0345679,0.538841,0.474547,0.471935
deep,ent_C_tsallis4,mlep,webp,800,386,0.49673,0.470653,0.5175,0.5,0.00259067,0.00515464,0.489988,0.481219,0.480768
deep,ent_C_tsallis4,mlep,blur+jpeg,800,386,0.45931,0.44795,0.5175,0.5,0.00259067,0.00515464,0.538754,0.481475,0.482783
