config,condition,head,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
deg_baseline_2x2,clean,ai,800,379,0.874278,0.89219,0.82125,0.817204,0.802111,0.809587,0.195013,0.204489,0.255585
deg_baseline_2x2,clean,blur,800,0,nan,nan,0.515,0,0,0,nan,0.305555,nan
deg_baseline_2x2,clean,jpeg,800,0,nan,nan,0.8225,0,0,0,nan,0.140007,nan
deg_baseline_2x2,jpeg_only,ai,800,384,0.560519,0.54966,0.53125,0.510588,0.565104,0.536465,0.464944,0.252024,0.0378097
deg_baseline_2x2,jpeg_only,blur,800,0,nan,nan,0.4925,0,0,0,nan,0.306876,nan
deg_baseline_2x2,jpeg_only,jpeg,800,800,nan,nan,1,1,1,1,nan,0.000765083,nan
deg_baseline_2x2,blur_only,ai,800,388,0.668308,0.666211,0.6175,0.628931,0.515464,0.566572,0.371096,0.232384,0.0605788
deg_baseline_2x2,blur_only,blur,800,800,nan,nan,0.89875,1,0.89875,0.946675,nan,0.077894,nan
deg_baseline_2x2,blur_only,jpeg,800,0,nan,nan,0.94,0,0,0,nan,0.0474561,nan
deg_baseline_2x2,both,ai,800,384,0.574557,0.561165,0.5475,0.5275,0.549479,0.538265,0.451222,0.249474,0.0325512
deg_baseline_2x2,both,blur,800,800,nan,nan,0.87,1,0.87,0.930481,nan,0.0962303,nan
deg_baseline_2x2,both,jpeg,800,800,nan,nan,1,1,1,1,nan,0.000261191,nan
deg_baseline_2x2,seen,ai,800,384,0.574094,0.568095,0.54375,0.523691,0.546875,0.535032,0.452524,0.247084,0.0240714
deg_baseline_2x2,seen,blur,800,566,0.821778,0.921304,0.77125,0.804452,0.893993,0.846862,0.244586,0.153503,0.0386473
deg_baseline_2x2,seen,jpeg,800,669,0.997997,0.999582,0.98875,0.986726,1,0.993318,0.01436,0.00891247,0.00897197
deg_baseline_2x2,unseen,ai,800,384,0.540937,0.515219,0.5275,0.507075,0.559896,0.532178,0.46865,0.251694,0.0292924
deg_baseline_2x2,unseen,blur,800,800,nan,nan,0.86875,1,0.86875,0.929766,nan,0.0990339,nan
deg_baseline_2x2,unseen,jpeg,800,800,nan,nan,1,1,1,1,nan,0.000595007,nan
deg_renyi4_2x2,clean,ai,800,379,0.920616,0.903729,0.81625,0.914286,0.675462,0.776935,0.145006,0.179182,0.210914
deg_renyi4_2x2,clean,blur,800,0,nan,nan,0.515,0,0,0,nan,0.305198,nan
deg_renyi4_2x2,clean,jpeg,800,0,nan,nan,0.8375,0,0,0,nan,0.126884,nan
deg_renyi4_2x2,jpeg_only,ai,800,384,0.592889,0.609343,0.56875,0.549118,0.567708,0.558259,0.43129,0.247866,0.0536711
deg_renyi4_2x2,jpeg_only,blur,800,0,nan,nan,0.47875,0,0,0,nan,0.303317,nan
deg_renyi4_2x2,jpeg_only,jpeg,800,800,nan,nan,1,1,1,1,nan,0.00082231,nan
deg_renyi4_2x2,blur_only,ai,800,388,0.69131,0.643893,0.62125,0.68559,0.404639,0.508914,0.361238,0.229862,0.067802
deg_renyi4_2x2,blur_only,blur,800,800,nan,nan,0.905,1,0.905,0.950131,nan,0.0691186,nan
deg_renyi4_2x2,blur_only,jpeg,800,0,nan,nan,0.955,0,0,0,nan,0.034458,nan
deg_renyi4_2x2,both,ai,800,384,0.577868,0.567216,0.56375,0.543424,0.570312,0.556544,0.436098,0.249044,0.0531254
deg_renyi4_2x2,both,blur,800,800,nan,nan,0.8675,1,0.8675,0.92905,nan,0.0962792,nan
deg_renyi4_2x2,both,jpeg,800,800,nan,nan,1,1,1,1,nan,0.000221175,nan
deg_renyi4_2x2,seen,ai,800,384,0.590639,0.594659,0.56,0.543716,0.518229,0.530667,0.452524,0.243268,0.0207267
deg_renyi4_2x2,seen,blur,800,566,0.826832,0.925473,0.76625,0.802233,0.888693,0.843252,0.252393,0.151802,0.0453868
deg_renyi4_2x2,seen,jpeg,800,669,0.99919,0.999836,0.9925,0.991111,1,0.995536,0.00904848,0.00665292,0.0116347
deg_renyi4_2x2,unseen,ai,800,384,0.539225,0.529423,0.51,0.49,0.510417,0.5,0.488782,0.251323,0.0420122
deg_renyi4_2x2,unseen,blur,800,800,nan,nan,0.86875,1,0.86875,0.929766,nan,0.101684,nan
deg_renyi4_2x2,unseen,jpeg,800,800,nan,nan,1,1,1,1,nan,0.000644569,nan
