config,condition,head,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
deg_baseline_2x2,clean,ai,800,409,0.919359,0.940016,0.7575,0.695811,0.933985,0.797495,0.151242,0.189906,0.2759
deg_baseline_2x2,clean,blur,800,0,nan,nan,0.2975,0,0,0,nan,0.435274,nan
deg_baseline_2x2,clean,jpeg,800,0,nan,nan,0.9175,0,0,0,nan,0.0739441,nan
deg_baseline_2x2,jpeg_only,ai,800,428,0.589193,0.601307,0.55,0.577982,0.588785,0.583333,0.448761,0.243492,0.0298006
deg_baseline_2x2,jpeg_only,blur,800,0,nan,nan,0.48375,0,0,0,nan,0.314113,nan
deg_baseline_2x2,jpeg_only,jpeg,800,800,nan,nan,0.9975,1,0.9975,0.998748,nan,0.00319278,nan
deg_baseline_2x2,blur_only,ai,800,393,0.681362,0.6647,0.52875,0.511019,0.94402,0.663092,0.363752,0.248073,0.128397
deg_baseline_2x2,blur_only,blur,800,800,nan,nan,0.97,1,0.97,0.984772,nan,0.0343594,nan
deg_baseline_2x2,blur_only,jpeg,800,0,nan,nan,0.97375,0,0,0,nan,0.0224224,nan
deg_baseline_2x2,both,ai,800,428,0.540492,0.564219,0.535,0.554264,0.668224,0.605932,0.466348,0.24768,0.0264967
deg_baseline_2x2,both,blur,800,800,nan,nan,0.86375,1,0.86375,0.926895,nan,0.0934983,nan
deg_baseline_2x2,both,jpeg,800,800,nan,nan,0.9975,1,0.9975,0.998748,nan,0.00169091,nan
deg_baseline_2x2,seen,ai,800,428,0.585221,0.63353,0.565,0.575758,0.71028,0.635983,0.451274,0.241797,0.0153024
deg_baseline_2x2,seen,blur,800,559,0.800433,0.901387,0.76,0.7936,0.887299,0.837838,0.272887,0.161468,0.0239246
deg_baseline_2x2,seen,jpeg,800,669,0.999178,0.999837,0.99375,0.995522,0.99701,0.996266,0.00912836,0.00566559,0.0133703
deg_baseline_2x2,unseen,ai,800,428,0.542989,0.575294,0.53,0.558559,0.579439,0.568807,0.468684,0.247663,0.0287434
deg_baseline_2x2,unseen,blur,800,800,nan,nan,0.85,1,0.85,0.918919,nan,0.100664,nan
deg_baseline_2x2,unseen,jpeg,800,800,nan,nan,0.99625,1,0.99625,0.998121,nan,0.00279155,nan
deg_renyi4_2x2,clean,ai,800,409,0.940401,0.95731,0.7775,0.712707,0.94621,0.813025,0.12623,0.186507,0.291113
deg_renyi4_2x2,clean,blur,800,0,nan,nan,0.2625,0,0,0,nan,0.462049,nan
deg_renyi4_2x2,clean,jpeg,800,0,nan,nan,0.9025,0,0,0,nan,0.0788425,nan
deg_renyi4_2x2,jpeg_only,ai,800,428,0.580702,0.592297,0.5575,0.590686,0.563084,0.576555,0.438712,0.244652,0.0385291
deg_renyi4_2x2,jpeg_only,blur,800,0,nan,nan,0.49875,0,0,0,nan,0.309609,nan
deg_renyi4_2x2,jpeg_only,jpeg,800,800,nan,nan,0.9975,1,0.9975,0.998748,nan,0.00313706,nan
deg_renyi4_2x2,blur_only,ai,800,393,0.688786,0.67386,0.535,0.514727,0.933842,0.663653,0.353749,0.241579,0.114411
deg_renyi4_2x2,blur_only,blur,800,800,nan,nan,0.975,1,0.975,0.987342,nan,0.0287871,nan
deg_renyi4_2x2,blur_only,jpeg,800,0,nan,nan,0.9725,0,0,0,nan,0.0230375,nan
deg_renyi4_2x2,both,ai,800,428,0.52756,0.55243,0.535,0.555777,0.651869,0.6,0.466172,0.249172,0.028668
deg_renyi4_2x2,both,blur,800,800,nan,nan,0.8625,1,0.8625,0.926174,nan,0.095109,nan
deg_renyi4_2x2,both,jpeg,800,800,nan,nan,0.9975,1,0.9975,0.998748,nan,0.00218333,nan
deg_renyi4_2x2,seen,ai,800,428,0.591316,0.643415,0.56375,0.576108,0.698598,0.631468,0.448761,0.241322,0.0182112
deg_renyi4_2x2,seen,blur,800,559,0.80155,0.900257,0.77125,0.803226,0.890877,0.844784,0.275856,0.161002,0.0429828
deg_renyi4_2x2,seen,jpeg,800,669,0.999019,0.999803,0.995,0.99701,0.99701,0.99701,0.0173496,0.00583581,0.0128401
deg_renyi4_2x2,unseen,ai,800,428,0.544305,0.579415,0.52375,0.555556,0.549065,0.552291,0.470028,0.248153,0.0387548
deg_renyi4_2x2,unseen,blur,800,800,nan,nan,0.84,1,0.84,0.913043,nan,0.105978,nan
deg_renyi4_2x2,unseen,jpeg,800,800,nan,nan,0.99625,1,0.99625,0.998121,nan,0.00281401,nan
