stage,config,classifier,scenario,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
deep,ent_D_perm4,mlep,jpeg,800,379,0.462114,0.431064,0.495,0.254902,0.0343008,0.0604651,0.52751,0.33911,0.270714
deep,ent_D_perm4,mlep,webp,800,379,0.457972,0.433434,0.50125,0.166667,0.0131926,0.0244499,0.525003,0.375351,0.328871
deep,ent_D_perm4,mlep,blur+jpeg,800,379,0.451476,0.428605,0.5075,0.241379,0.0184697,0.0343137,0.52751,0.377835,0.335547
deep,ent_E_shannon_renyi,mlep,clean,800,379,0.997233,0.997275,0.97375,0.989071,0.955145,0.971812,0.0212429,0.0196203,0.0214883
deep,ent_E_shannon_renyi,mlep,blur,800,379,0.725644,0.678843,0.5725,0.528073,0.918206,0.67052,0.32247,0.340161,0.335782
deep,ent_E_shannon_renyi,mlep,jpeg,800,379,0.410387,0.402658,0.5225,0,0,0,0.586225,0.473343,0.471544
deep,ent_E_shannon_renyi,mlep,webp,800,379,0.424868,0.416434,0.525,0,0,0,0.581211,0.472291,0.471297
deep,ent_E_shannon_renyi,mlep,blur+jpeg,800,379,0.442755,0.421735,0.52625,0,0,0,0.547434,0.473155,0.472597
deep,ent_F_shannon_tsallis,mlep,clean,800,379,0.995632,0.995697,0.96625,0.953608,0.976253,0.964798,0.0312706,0.0286042,0.0332502
deep,ent_F_shannon_tsallis,mlep,blur,800,379,0.704636,0.664959,0.5725,0.528951,0.891821,0.664047,0.336324,0.34576,0.32933
deep,ent_F_shannon_tsallis,mlep,jpeg,800,379,0.411823,0.408228,0.50875,0.111111,0.00527704,0.0100756,0.569864,0.47254,0.473863
deep,ent_F_shannon_tsallis,mlep,webp,800,379,0.412907,0.409143,0.51625,0.166667,0.00527704,0.0102302,0.57501,0.470026,0.464197
deep,ent_F_shannon_tsallis,mlep,blur+jpeg,800,379,0.437866,0.418661,0.52125,0,0,0,0.548753,0.473982,0.475693
deep,ent_G_shannon_perm,mlep,clean,800,379,0.945797,0.936973,0.83125,0.914966,0.709763,0.799406,0.139992,0.11052,0.090811
deep,ent_G_shannon_perm,mlep,blur,800,379,0.648014,0.625462,0.5825,0.539683,0.807388,0.646934,0.386199,0.321331,0.266679
deep,ent_G_shannon_perm,mlep,jpeg,800,379,0.421133,0.409098,0.49,0.162791,0.0184697,0.0331754,0.572503,0.475193,0.464507
deep,ent_G_shannon_perm,mlep,webp,800,379,0.400071,0.412332,0.5225,0.454545,0.0395778,0.0728155,0.568808,0.467004,0.464749
deep,ent_G_shannon_perm,mlep,blur+jpeg,800,379,0.44502,0.423755,0.50625,0.214286,0.0158311,0.029484,0.536219,0.476412,0.474936
deep,ent_H_all,mlep,clean,800,379,0.98488,0.984123,0.90875,0.972222,0.831135,0.896159,0.0712495,0.0648797,0.0653855
deep,ent_H_all,mlep,blur,800,379,0.704382,0.666365,0.55625,0.518072,0.907652,0.659636,0.337512,0.349384,0.34117
deep,ent_H_all,mlep,jpeg,800,379,0.432602,0.410863,0.51,0.117647,0.00527704,0.010101,0.549941,0.476019,0.477959
deep,ent_H_all,mlep,webp,800,379,0.416833,0.410417,0.51625,0.166667,0.00527704,0.0102302,0.572503,0.472615,0.470156
deep,ent_H_all,mlep,blur+jpeg,800,379,0.468118,0.433924,0.5175,0.111111,0.00263852,0.00515464,0.532524,0.473775,0.474329
deep,ent_H_all_normalized,mlep,clean,800,379,0.989609,0.989189,0.91625,0.9875,0.833773,0.904149,0.0675549,0.0579405,0.0669317
deep,ent_H_all_normalized,mlep,blur,800,379,0.712025,0.671535,0.565,0.522895,0.934037,0.670455,0.332498,0.354568,0.346525
deep,ent_H_all_normalized,mlep,jpeg,800,379,0.433069,0.409894,0.515,0.0909091,0.00263852,0.00512821,0.557462,0.473835,0.471799
deep,ent_H_all_normalized,mlep,webp,800,379,0.42531,0.411376,0.5225,0,0,0,0.557593,0.472786,0.472373
deep,ent_H_all_normalized,mlep,blur+jpeg,800,379,0.466373,0.431613,0.5225,0.2,0.00263852,0.00520833,0.532524,0.472132,0.472208
