stage,config,classifier,scenario,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
features,C_tsallis,logreg,clean,1536,792,0.994315,0.994159,0.974609,0.980843,0.969697,0.975238,0.0260264,0.0205008,0.0125855
features,C_tsallis,logreg,blur,1536,792,0.688734,0.647944,0.61849,0.577677,0.967172,0.723324,0.365204,0.316827,0.305804
features,C_tsallis,logreg,jpeg,1536,792,0.467895,0.480677,0.47526,0.315789,0.0151515,0.0289157,0.513665,0.502468,0.499987
features,C_tsallis,logreg,webp,1536,792,0.482805,0.504134,0.485677,0.555556,0.0126263,0.0246914,0.511058,0.510709,0.510079
features,C_tsallis,logreg,blur+jpeg,1536,792,0.445946,0.481156,0.483073,0.375,0.00378788,0.0075,0.544273,0.511591,0.511996
features,C_tsallis,rf,clean,1536,792,0.980024,0.981903,0.921875,0.943272,0.902778,0.922581,0.0774479,0.0751435,0.125007
features,C_tsallis,rf,blur,1536,792,0.661081,0.644827,0.61263,0.603358,0.72601,0.659026,0.392534,0.237935,0.0877127
features,C_tsallis,rf,jpeg,1536,792,0.49416,0.495533,0.476562,0.227273,0.00631313,0.012285,0.501344,0.389489,0.359737
features,C_tsallis,rf,webp,1536,792,0.495383,0.519509,0.485677,1,0.00252525,0.00503778,0.507148,0.427394,0.413184
features,C_tsallis,rf,blur+jpeg,1536,792,0.506552,0.517303,0.483724,0.333333,0.00126263,0.00251572,0.491263,0.420348,0.405951
features,C_tsallis,svm,clean,1536,792,0.981886,0.982862,0.942057,0.952381,0.934343,0.943276,0.0579383,0.0457782,0.0136575
features,C_tsallis,svm,blur,1536,792,0.663362,0.615219,0.625651,0.595427,0.854798,0.701918,0.381517,0.278967,0.206282
features,C_tsallis,svm,jpeg,1536,792,0.496283,0.505816,0.485026,0.52,0.0164141,0.0318237,0.509123,0.482964,0.475576
features,C_tsallis,svm,webp,1536,792,0.469093,0.501247,0.486328,1,0.00378788,0.00754717,0.53515,0.507174,0.506477
features,C_tsallis,svm,blur+jpeg,1536,792,0.489932,0.507562,0.483724,0.428571,0.00378788,0.00750939,0.488942,0.502161,0.500901
features,C_tsallis,gbt,clean,1536,792,0.995005,0.995428,0.968099,0.975672,0.962121,0.968849,0.0312398,0.0261768,0.0116104
features,C_tsallis,gbt,blur,1536,792,0.675257,0.652569,0.632812,0.602518,0.84596,0.703782,0.379541,0.30282,0.261163
features,C_tsallis,gbt,jpeg,1536,792,0.463666,0.472896,0.469401,0.305085,0.0227273,0.0423032,0.526067,0.504357,0.499093
features,C_tsallis,gbt,webp,1536,792,0.492044,0.507572,0.483724,0.428571,0.00378788,0.00750939,0.512993,0.511622,0.512311
features,C_tsallis,gbt,blur+jpeg,1536,792,0.474118,0.486373,0.484375,0.5,0.00252525,0.00502513,0.511058,0.512495,0.512311
features,D_perm,logreg,clean,1536,792,0.884415,0.875341,0.817057,0.812729,0.838384,0.825357,0.18752,0.139957,0.0659095
features,D_perm,logreg,blur,1536,792,0.530833,0.536551,0.50651,0.559441,0.20202,0.296846,0.47263,0.400494,0.362628
features,D_perm,logreg,jpeg,1536,792,0.501083,0.503475,0.473958,0.472789,0.175505,0.255985,0.49609,0.401766,0.361794
features,D_perm,logreg,webp,1536,792,0.488957,0.504079,0.494792,0.51108,0.465909,0.48745,0.505213,0.358349,0.286161
features,D_perm,logreg,blur+jpeg,1536,792,0.508586,0.522311,0.484375,0.5,0.0113636,0.0222222,0.5,0.504102,0.501706
features,D_perm,rf,clean,1536,792,0.8222,0.814355,0.745443,0.758044,0.743687,0.750797,0.254501,0.178165,0.0743338
features,D_perm,rf,blur,1536,792,0.5243,0.528496,0.491536,0.52973,0.123737,0.200614,0.472507,0.271623,0.122891
features,D_perm,rf,jpeg,1536,792,0.487004,0.521015,0.47526,0.488014,0.359848,0.414244,0.513665,0.277903,0.15026
features,D_perm,rf,webp,1536,792,0.520906,0.536896,0.51237,0.525324,0.563131,0.543571,0.492689,0.263987,0.101441
features,D_perm,rf,blur+jpeg,1536,792,0.520554,0.536858,0.5,0.547619,0.174242,0.264368,0.48827,0.264275,0.0967144
features,D_perm,svm,clean,1536,792,0.81281,0.809722,0.740234,0.741697,0.761364,0.751402,0.261058,0.178343,0.0487149
features,D_perm,svm,blur,1536,792,0.496425,0.505582,0.484375,0,0,0,0.498025,0.333352,0.289609
features,D_perm,svm,jpeg,1536,792,0.504328,0.522429,0.498698,0.521236,0.340909,0.412214,0.506517,0.325822,0.242964
features,D_perm,svm,webp,1536,792,0.539613,0.558571,0.526693,0.540373,0.549242,0.544771,0.479818,0.309022,0.223498
features,D_perm,svm,blur+jpeg,1536,792,0.513414,0.516372,0.484375,0,0,0,0.48827,0.338628,0.301555
features,D_perm,gbt,clean,1536,792,0.848907,0.84493,0.769531,0.784416,0.762626,0.773367,0.232425,0.1586,0.0307171
features,D_perm,gbt,blur,1536,792,0.49509,0.508308,0.484375,0,0,0,0.505845,0.370396,0.340501
