config,condition,head,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
deg_baseline_2x2,clean,ai,1600,781,0.99995,0.999948,0.99625,0.994891,0.997439,0.996164,0.00500282,0.00300756,0.00634397
deg_baseline_2x2,clean,blur,1600,0,nan,nan,0.986875,0,0,0,nan,0.010567,nan
deg_baseline_2x2,clean,jpeg,1600,0,nan,nan,0.99875,0,0,0,nan,0.00111364,nan
deg_baseline_2x2,jpeg_only,ai,1600,787,0.714123,0.731979,0.638125,0.627764,0.649301,0.638351,0.361264,0.213366,0.0391569
deg_baseline_2x2,jpeg_only,blur,1600,0,nan,nan,0.5825,0,0,0,nan,0.274049,nan
deg_baseline_2x2,jpeg_only,jpeg,1600,1600,nan,nan,0.99875,1,0.99875,0.999375,nan,0.000733732,nan
deg_baseline_2x2,blur_only,ai,1600,792,0.889761,0.882378,0.773125,0.701408,0.943182,0.804523,0.208127,0.150967,0.108368
deg_baseline_2x2,blur_only,blur,1600,1600,nan,nan,0.89125,1,0.89125,0.942498,nan,0.0808361,nan
deg_baseline_2x2,blur_only,jpeg,1600,0,nan,nan,1,0,0,0,nan,0.000166078,nan
deg_baseline_2x2,both,ai,1600,787,0.640097,0.634898,0.585625,0.56499,0.684879,0.619184,0.406235,0.233804,0.028747
deg_baseline_2x2,both,blur,1600,1600,nan,nan,0.863125,1,0.863125,0.926535,nan,0.0846895,nan
deg_baseline_2x2,both,jpeg,1600,1600,nan,nan,0.999375,1,0.999375,0.999687,nan,0.000625814,nan
deg_baseline_2x2,seen,ai,1600,787,0.728106,0.731919,0.646875,0.622247,0.717916,0.666667,0.34376,0.206777,0.0249028
deg_baseline_2x2,seen,blur,1600,1133,0.870514,0.94668,0.79,0.849255,0.855252,0.852243,0.224511,0.132421,0.0281137
deg_baseline_2x2,seen,jpeg,1600,1346,1,1,1,1,1,1,0,0.000105484,0.00139764
deg_baseline_2x2,unseen,ai,1600,787,0.609908,0.601207,0.569375,0.555056,0.6277,0.589147,0.418124,0.239689,0.0263901
deg_baseline_2x2,unseen,blur,1600,1600,nan,nan,0.869375,1,0.869375,0.930124,nan,0.0805207,nan
deg_baseline_2x2,unseen,jpeg,1600,1600,nan,nan,1,1,1,1,nan,0.000120219,nan
