config,condition,head,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
deg_baseline_2x2,clean,ai,800,386,0.880964,0.903932,0.8175,0.842857,0.764249,0.80163,0.196272,0.201044,0.243908
deg_baseline_2x2,clean,blur,800,0,nan,nan,0.40625,0,0,0,nan,0.389076,nan
deg_baseline_2x2,clean,jpeg,800,0,nan,nan,0.88625,0,0,0,nan,0.0856779,nan
deg_baseline_2x2,jpeg_only,ai,800,435,0.568033,0.586037,0.5075,0.599034,0.285057,0.386293,0.447426,0.252859,0.0910548
deg_baseline_2x2,jpeg_only,blur,800,0,nan,nan,0.54375,0,0,0,nan,0.294466,nan
deg_baseline_2x2,jpeg_only,jpeg,800,800,nan,nan,0.9975,1,0.9975,0.998748,nan,0.00408613,nan
deg_baseline_2x2,blur_only,ai,800,393,0.66511,0.650365,0.59625,0.642276,0.402036,0.494523,0.396262,0.23484,0.0778931
deg_baseline_2x2,blur_only,blur,800,800,nan,nan,0.9375,1,0.9375,0.967742,nan,0.0423607,nan
deg_baseline_2x2,blur_only,jpeg,800,0,nan,nan,0.97125,0,0,0,nan,0.0180028,nan
deg_baseline_2x2,both,ai,800,435,0.534669,0.547423,0.55375,0.569892,0.731034,0.640483,0.470099,0.248077,0.0498643
deg_baseline_2x2,both,blur,800,800,nan,nan,0.83625,1,0.83625,0.910824,nan,0.105114,nan
deg_baseline_2x2,both,jpeg,800,800,nan,nan,0.99875,1,0.99875,0.999375,nan,0.00252084,nan
deg_baseline_2x2,seen,ai,800,435,0.567986,0.602149,0.55125,0.593137,0.556322,0.57414,0.449945,0.247253,0.0519744
deg_baseline_2x2,seen,blur,800,562,0.807534,0.912749,0.755,0.816609,0.839858,0.82807,0.262814,0.159224,0.0348989
deg_baseline_2x2,seen,jpeg,800,660,0.999621,0.99992,0.9925,0.99247,0.998485,0.995468,0.00735931,0.00644571,0.0183434
deg_baseline_2x2,unseen,ai,800,435,0.538533,0.574011,0.5475,0.56304,0.749425,0.642998,0.484994,0.246908,0.0286283
deg_baseline_2x2,unseen,blur,800,800,nan,nan,0.8425,1,0.8425,0.914518,nan,0.106196,nan
deg_baseline_2x2,unseen,jpeg,800,800,nan,nan,0.99625,1,0.99625,0.998121,nan,0.00346274,nan
deg_renyi4_2x2,clean,ai,800,386,0.861264,0.88952,0.76,0.724537,0.810881,0.765281,0.217504,0.164982,0.155319
deg_renyi4_2x2,clean,blur,800,0,nan,nan,0.4775,0,0,0,nan,0.385839,nan
deg_renyi4_2x2,clean,jpeg,800,0,nan,nan,0.9125,0,0,0,nan,0.0671591,nan
deg_renyi4_2x2,jpeg_only,ai,800,435,0.566752,0.603647,0.51375,0.597458,0.324138,0.420268,0.443757,0.250069,0.0813232
deg_renyi4_2x2,jpeg_only,blur,800,0,nan,nan,0.5225,0,0,0,nan,0.304726,nan
deg_renyi4_2x2,jpeg_only,jpeg,800,800,nan,nan,0.9975,1,0.9975,0.998748,nan,0.00246887,nan
deg_renyi4_2x2,blur_only,ai,800,393,0.636711,0.634735,0.5775,0.613169,0.379135,0.468553,0.418813,0.24236,0.0969835
deg_renyi4_2x2,blur_only,blur,800,800,nan,nan,0.925,1,0.925,0.961039,nan,0.0446752,nan
deg_renyi4_2x2,blur_only,jpeg,800,0,nan,nan,0.98125,0,0,0,nan,0.0134719,nan
deg_renyi4_2x2,both,ai,800,435,0.557522,0.578355,0.55375,0.575875,0.68046,0.623815,0.460022,0.246094,0.0483212
deg_renyi4_2x2,both,blur,800,800,nan,nan,0.8425,1,0.8425,0.914518,nan,0.100012,nan
deg_renyi4_2x2,both,jpeg,800,800,nan,nan,1,1,1,1,nan,0.00257089,nan
deg_renyi4_2x2,seen,ai,800,435,0.568175,0.624586,0.53625,0.581218,0.526437,0.552473,0.456353,0.246785,0.0589458
deg_renyi4_2x2,seen,blur,800,562,0.802768,0.907992,0.7575,0.816151,0.845196,0.83042,0.277445,0.161325,0.0324609
deg_renyi4_2x2,seen,jpeg,800,660,0.999848,0.999968,0.99625,0.996974,0.998485,0.997729,0.00508658,0.00431149,0.016342
deg_renyi4_2x2,unseen,ai,800,435,0.561786,0.591386,0.5625,0.58317,0.685057,0.630021,0.461171,0.244746,0.0430798
deg_renyi4_2x2,unseen,blur,800,800,nan,nan,0.85625,1,0.85625,0.922559,nan,0.0998897,nan
deg_renyi4_2x2,unseen,jpeg,800,800,nan,nan,0.99875,1,0.99875,0.999375,nan,0.00235013,nan
