
TRAIN: 360040 sources x 4 variants = 1440160 samples
  categories: 20  sources/category: [18002]
  real sources: 180020   fake sources: 180020
  per category/label, each of clean|blur|jpeg|noise gets exactly 9001 samples
  severity levels (index 0/1/2) over all sources: 120040 / 120000 / 120000
  max level imbalance within any category/label group: 1 sample(s)  [40 groups]

VAL: 8000 sources x 4 variants = 32000 samples
  categories: 20  sources/category: [400]
  real sources: 4000   fake sources: 4000
  per category/label, each of clean|blur|jpeg|noise gets exactly 200 samples
  severity levels (index 0/1/2) over all sources: 2680 / 2680 / 2640
  max level imbalance within any category/label group: 1 sample(s)  [40 groups]
  epoch 10 step 22400  loss=0.1073  (11318s)
[epoch 10] loss=0.1073 lr=1.00e-05 train=11374s
      ai: acc=0.7789 ap=0.8849  blur: acc=0.9963 ap=0.9996  jpeg: acc=0.9996 ap=1.0000  noise: acc=0.9998 ap=1.0000
      ai AP by variant:  clean=0.9998  blur=0.8764  jpeg=0.7158  noise=0.7374
  epoch 11 step 200  loss=0.1061  (160s)
  epoch 11 step 400  loss=0.1063  (315s)
  epoch 11 step 600  loss=0.1058  (467s)
  epoch 11 step 800  loss=0.1059  (621s)
  epoch 11 step 1000  loss=0.1058  (777s)
  epoch 11 step 1200  loss=0.1060  (936s)
  epoch 11 step 1400  loss=0.1060  (1094s)
  epoch 11 step 1600  loss=0.1060  (1248s)
  epoch 11 step 1800  loss=0.1062  (1405s)
  epoch 11 step 2000  loss=0.1063  (1564s)
  epoch 11 step 2200  loss=0.1064  (1732s)
  epoch 11 step 2400  loss=0.1064  (1890s)
  epoch 11 step 2600  loss=0.1065  (2040s)
  epoch 11 step 2800  loss=0.1065  (2188s)
  epoch 11 step 3000  loss=0.1066  (2335s)
  epoch 11 step 3200  loss=0.1066  (2481s)
  epoch 11 step 3400  loss=0.1066  (2626s)
  epoch 11 step 3600  loss=0.1066  (2773s)
  epoch 11 step 3800  loss=0.1067  (2917s)
  epoch 11 step 4000  loss=0.1066  (3063s)
  epoch 11 step 4200  loss=0.1065  (3209s)
  epoch 11 step 4400  loss=0.1065  (3352s)
  epoch 11 step 4600  loss=0.1064  (3495s)
  epoch 11 step 4800  loss=0.1064  (3634s)
  epoch 11 step 5000  loss=0.1065  (3774s)
  epoch 11 step 5200  loss=0.1064  (3916s)
  epoch 11 step 5400  loss=0.1064  (4058s)
  epoch 11 step 5600  loss=0.1065  (4197s)
  epoch 11 step 5800  loss=0.1065  (4336s)
  epoch 11 step 6000  loss=0.1065  (4477s)
  epoch 11 step 6200  loss=0.1065  (4621s)
  epoch 11 step 6400  loss=0.1065  (4774s)
  epoch 11 step 6600  loss=0.1065  (4911s)
  epoch 11 step 6800  loss=0.1065  (5049s)
  epoch 11 step 7000  loss=0.1065  (5189s)
  epoch 11 step 7200  loss=0.1065  (5331s)
  epoch 11 step 7400  loss=0.1065  (5470s)
  epoch 11 step 7600  loss=0.1065  (5608s)
  epoch 11 step 7800  loss=0.1065  (5743s)
  epoch 11 step 8000  loss=0.1064  (5887s)
  epoch 11 step 8200  loss=0.1065  (6029s)
  epoch 11 step 8400  loss=0.1065  (6184s)
  epoch 11 step 8600  loss=0.1065  (6323s)
  epoch 11 step 8800  loss=0.1065  (6460s)
  epoch 11 step 9000  loss=0.1064  (6603s)
  epoch 11 step 9200  loss=0.1064  (6742s)
  epoch 11 step 9400  loss=0.1065  (6887s)
  epoch 11 step 9600  loss=0.1064  (7030s)
  epoch 11 step 9800  loss=0.1064  (7167s)
  epoch 11 step 10000  loss=0.1064  (7305s)
  epoch 11 step 10200  loss=0.1064  (7442s)
  epoch 11 step 10400  loss=0.1064  (7580s)
  epoch 11 step 10600  loss=0.1064  (7732s)
  epoch 11 step 10800  loss=0.1064  (7881s)
  epoch 11 step 11000  loss=0.1064  (8021s)
  epoch 11 step 11200  loss=0.1064  (8159s)
  epoch 11 step 11400  loss=0.1064  (8299s)
  epoch 11 step 11600  loss=0.1065  (8434s)
  epoch 11 step 11800  loss=0.1065  (8571s)
  epoch 11 step 12000  loss=0.1065  (8711s)
  epoch 11 step 12200  loss=0.1065  (8856s)
  epoch 11 step 12400  loss=0.1065  (8995s)
  epoch 11 step 12600  loss=0.1065  (9136s)
  epoch 11 step 12800  loss=0.1065  (9278s)
  epoch 11 step 13000  loss=0.1065  (9411s)
  epoch 11 step 13200  loss=0.1065  (9546s)
  epoch 11 step 13400  loss=0.1065  (9682s)
  epoch 11 step 13600  loss=0.1065  (9816s)
  epoch 11 step 13800  loss=0.1065  (9952s)
  epoch 11 step 14000  loss=0.1065  (10198s)
  epoch 11 step 14200  loss=0.1066  (10334s)
  epoch 11 step 14400  loss=0.1065  (10468s)
  epoch 11 step 14600  loss=0.1065  (10604s)
  epoch 11 step 14800  loss=0.1065  (10741s)
  epoch 11 step 15000  loss=0.1065  (10876s)
  epoch 11 step 15200  loss=0.1065  (11006s)
  epoch 11 step 15400  loss=0.1065  (11133s)
  epoch 11 step 15600  loss=0.1065  (11253s)
  epoch 11 step 15800  loss=0.1065  (11370s)
  epoch 11 step 16000  loss=0.1065  (11488s)
  epoch 11 step 16200  loss=0.1065  (11602s)
  epoch 11 step 16400  loss=0.1065  (11714s)
  epoch 11 step 16600  loss=0.1065  (11822s)
  epoch 11 step 16800  loss=0.1065  (11927s)
  epoch 11 step 17000  loss=0.1065  (12030s)
  epoch 11 step 17200  loss=0.1065  (12134s)
  epoch 11 step 17400  loss=0.1065  (12233s)
  epoch 11 step 17600  loss=0.1065  (12332s)
  epoch 11 step 17800  loss=0.1065  (12428s)
  epoch 11 step 18000  loss=0.1065  (12524s)
  epoch 11 step 18200  loss=0.1065  (12616s)
  epoch 11 step 18400  loss=0.1065  (12705s)
  epoch 11 step 18600  loss=0.1065  (12793s)
  epoch 11 step 18800  loss=0.1065  (12881s)
  epoch 11 step 19000  loss=0.1065  (12966s)
  epoch 11 step 19200  loss=0.1065  (13052s)
  epoch 11 step 19400  loss=0.1065  (13134s)
  epoch 11 step 19600  loss=0.1065  (13217s)
  epoch 11 step 19800  loss=0.1066  (13297s)
  epoch 11 step 20000  loss=0.1065  (13378s)
