
TRAIN: 360040 sources x 4 variants = 1440160 samples
  categories: 20  sources/category: [18002]
  real sources: 180020   fake sources: 180020
  per category/label, each of clean|blur|jpeg|noise gets exactly 9001 samples
  severity levels (index 0/1/2) over all sources: 120040 / 120000 / 120000
  max level imbalance within any category/label group: 1 sample(s)  [40 groups]

VAL: 8000 sources x 4 variants = 32000 samples
  categories: 20  sources/category: [400]
  real sources: 4000   fake sources: 4000
  per category/label, each of clean|blur|jpeg|noise gets exactly 200 samples
  severity levels (index 0/1/2) over all sources: 2680 / 2680 / 2640
  max level imbalance within any category/label group: 1 sample(s)  [40 groups]
  epoch 0 step 22400  loss=0.1629  (5165s)
[epoch 0] loss=0.1628 lr=1.00e-04 train=5182s
      ai: acc=0.7186 ap=0.8247  blur: acc=0.9835 ap=0.9951  jpeg: acc=0.9968 ap=0.9994  noise: acc=0.9982 ap=1.0000
      ai AP by variant:  clean=0.9984  blur=0.7681  jpeg=0.6217  noise=0.6414
  epoch 1 step 200  loss=0.1425  (79s)
  epoch 1 step 400  loss=0.1425  (149s)
  epoch 1 step 600  loss=0.1419  (218s)
  epoch 1 step 800  loss=0.1417  (287s)
  epoch 1 step 1000  loss=0.1420  (355s)
  epoch 1 step 1200  loss=0.1418  (420s)
  epoch 1 step 1400  loss=0.1415  (486s)
  epoch 1 step 1600  loss=0.1411  (548s)
  epoch 1 step 1800  loss=0.1414  (609s)
  epoch 1 step 2000  loss=0.1412  (669s)
  epoch 1 step 2200  loss=0.1410  (729s)
  epoch 1 step 2400  loss=0.1409  (808s)
  epoch 1 step 2600  loss=0.1410  (866s)
  epoch 1 step 2800  loss=0.1409  (922s)
  epoch 1 step 3000  loss=0.1410  (982s)
  epoch 1 step 3200  loss=0.1410  (1042s)
  epoch 1 step 3400  loss=0.1408  (1112s)
  epoch 1 step 3600  loss=0.1407  (1174s)
  epoch 1 step 3800  loss=0.1407  (1238s)
  epoch 1 step 4000  loss=0.1406  (1298s)
  epoch 1 step 4200  loss=0.1405  (1360s)
  epoch 1 step 4400  loss=0.1403  (1421s)
  epoch 1 step 4600  loss=0.1403  (1481s)
  epoch 1 step 4800  loss=0.1401  (1540s)
  epoch 1 step 5000  loss=0.1400  (1603s)
  epoch 1 step 5200  loss=0.1398  (1661s)
  epoch 1 step 5400  loss=0.1398  (1717s)
  epoch 1 step 5600  loss=0.1398  (1774s)
  epoch 1 step 5800  loss=0.1398  (1830s)
  epoch 1 step 6000  loss=0.1397  (1887s)
  epoch 1 step 6200  loss=0.1397  (1944s)
  epoch 1 step 6400  loss=0.1396  (1999s)
  epoch 1 step 6600  loss=0.1395  (2055s)
  epoch 1 step 6800  loss=0.1395  (2110s)
  epoch 1 step 7000  loss=0.1394  (2165s)
  epoch 1 step 7200  loss=0.1393  (2221s)
  epoch 1 step 7400  loss=0.1393  (2275s)
  epoch 1 step 7600  loss=0.1392  (2333s)
  epoch 1 step 7800  loss=0.1392  (2388s)
  epoch 1 step 8000  loss=0.1391  (2444s)
  epoch 1 step 8200  loss=0.1391  (2500s)
  epoch 1 step 8400  loss=0.1390  (2556s)
  epoch 1 step 8600  loss=0.1390  (2613s)
  epoch 1 step 8800  loss=0.1390  (2670s)
  epoch 1 step 9000  loss=0.1389  (2727s)
  epoch 1 step 9200  loss=0.1388  (2784s)
  epoch 1 step 9400  loss=0.1388  (2842s)
  epoch 1 step 9600  loss=0.1388  (2900s)
  epoch 1 step 9800  loss=0.1387  (2957s)
  epoch 1 step 10000  loss=0.1386  (3013s)
  epoch 1 step 10200  loss=0.1385  (3070s)
  epoch 1 step 10400  loss=0.1385  (3128s)
  epoch 1 step 10600  loss=0.1385  (3185s)
  epoch 1 step 10800  loss=0.1384  (3243s)
  epoch 1 step 11000  loss=0.1383  (3300s)
  epoch 1 step 11200  loss=0.1383  (3357s)
  epoch 1 step 11400  loss=0.1383  (3413s)
  epoch 1 step 11600  loss=0.1382  (3472s)
  epoch 1 step 11800  loss=0.1382  (3531s)
  epoch 1 step 12000  loss=0.1381  (3591s)
  epoch 1 step 12200  loss=0.1381  (3646s)
  epoch 1 step 12400  loss=0.1380  (3706s)
  epoch 1 step 12600  loss=0.1380  (3765s)
  epoch 1 step 12800  loss=0.1380  (3824s)
  epoch 1 step 13000  loss=0.1379  (3906s)
  epoch 1 step 13200  loss=0.1379  (3967s)
  epoch 1 step 13400  loss=0.1379  (4027s)
  epoch 1 step 13600  loss=0.1378  (4089s)
  epoch 1 step 13800  loss=0.1378  (4150s)
  epoch 1 step 14000  loss=0.1378  (4214s)
  epoch 1 step 14200  loss=0.1377  (4276s)
  epoch 1 step 14400  loss=0.1376  (4341s)
  epoch 1 step 14600  loss=0.1376  (4405s)
  epoch 1 step 14800  loss=0.1375  (4468s)
  epoch 1 step 15000  loss=0.1374  (4536s)
  epoch 1 step 15200  loss=0.1374  (4602s)
  epoch 1 step 15400  loss=0.1374  (4670s)
  epoch 1 step 15600  loss=0.1373  (4737s)
  epoch 1 step 15800  loss=0.1373  (4802s)
  epoch 1 step 16000  loss=0.1372  (4868s)
  epoch 1 step 16200  loss=0.1372  (4936s)
  epoch 1 step 16400  loss=0.1371  (5004s)
  epoch 1 step 16600  loss=0.1371  (5074s)
  epoch 1 step 16800  loss=0.1370  (5143s)
  epoch 1 step 17000  loss=0.1370  (5212s)
  epoch 1 step 17200  loss=0.1369  (5281s)
  epoch 1 step 17400  loss=0.1368  (5352s)
  epoch 1 step 17600  loss=0.1368  (5422s)
  epoch 1 step 17800  loss=0.1368  (5493s)
  epoch 1 step 18000  loss=0.1367  (5560s)
  epoch 1 step 18200  loss=0.1367  (5627s)
  epoch 1 step 18400  loss=0.1367  (5694s)
  epoch 1 step 18600  loss=0.1366  (5761s)
  epoch 1 step 18800  loss=0.1366  (5825s)
  epoch 1 step 19000  loss=0.1366  (5956s)
  epoch 1 step 19200  loss=0.1365  (6073s)
  epoch 1 step 19400  loss=0.1365  (6136s)
  epoch 1 step 19600  loss=0.1364  (6196s)
  epoch 1 step 19800  loss=0.1364  (6255s)
  epoch 1 step 20000  loss=0.1364  (6318s)
  epoch 1 step 20200  loss=0.1363  (6377s)
  epoch 1 step 20400  loss=0.1363  (6433s)
  epoch 1 step 20600  loss=0.1363  (6489s)
  epoch 1 step 20800  loss=0.1362  (6543s)
  epoch 1 step 21000  loss=0.1362  (6597s)
  epoch 1 step 21200  loss=0.1362  (6651s)
  epoch 1 step 21400  loss=0.1361  (6704s)
  epoch 1 step 21600  loss=0.1361  (6756s)
  epoch 1 step 21800  loss=0.1360  (6807s)
  epoch 1 step 22000  loss=0.1360  (6857s)
  epoch 1 step 22200  loss=0.1359  (6904s)
  epoch 1 step 22400  loss=0.1359  (6954s)
[epoch 1] loss=0.1359 lr=1.00e-04 train=6980s
      ai: acc=0.7270 ap=0.8375  blur: acc=0.9883 ap=0.9972  jpeg: acc=0.9985 ap=0.9996  noise: acc=0.9989 ap=1.0000
      ai AP by variant:  clean=0.9979  blur=0.7877  jpeg=0.6598  noise=0.6432
  epoch 2 step 200  loss=0.1292  (57s)
  epoch 2 step 400  loss=0.1303  (109s)
  epoch 2 step 600  loss=0.1309  (164s)
  epoch 2 step 800  loss=0.1308  (216s)
  epoch 2 step 1000  loss=0.1311  (268s)
  epoch 2 step 1200  loss=0.1311  (320s)
  epoch 2 step 1400  loss=0.1310  (373s)
  epoch 2 step 1600  loss=0.1309  (428s)
  epoch 2 step 1800  loss=0.1307  (483s)
  epoch 2 step 2000  loss=0.1306  (537s)
  epoch 2 step 2200  loss=0.1305  (593s)
  epoch 2 step 2400  loss=0.1305  (648s)
  epoch 2 step 2600  loss=0.1306  (704s)
  epoch 2 step 2800  loss=0.1306  (761s)
  epoch 2 step 3000  loss=0.1307  (819s)
  epoch 2 step 3200  loss=0.1306  (874s)
  epoch 2 step 3400  loss=0.1306  (930s)
  epoch 2 step 3600  loss=0.1305  (989s)
  epoch 2 step 3800  loss=0.1305  (1048s)
  epoch 2 step 4000  loss=0.1305  (1108s)
  epoch 2 step 4200  loss=0.1304  (1166s)
  epoch 2 step 4400  loss=0.1304  (1225s)
  epoch 2 step 4600  loss=0.1304  (1287s)
  epoch 2 step 4800  loss=0.1304  (1346s)
  epoch 2 step 5000  loss=0.1304  (1405s)
  epoch 2 step 5200  loss=0.1303  (1465s)
  epoch 2 step 5400  loss=0.1303  (1524s)
  epoch 2 step 5600  loss=0.1303  (1585s)
  epoch 2 step 5800  loss=0.1302  (1645s)
  epoch 2 step 6000  loss=0.1302  (1706s)
  epoch 2 step 6200  loss=0.1301  (1765s)
  epoch 2 step 6400  loss=0.1301  (1826s)
  epoch 2 step 6600  loss=0.1301  (1885s)
  epoch 2 step 6800  loss=0.1300  (1948s)
  epoch 2 step 7000  loss=0.1300  (2009s)
  epoch 2 step 7200  loss=0.1300  (2069s)
  epoch 2 step 7400  loss=0.1300  (2128s)
  epoch 2 step 7600  loss=0.1299  (2187s)
  epoch 2 step 7800  loss=0.1299  (2247s)
  epoch 2 step 8000  loss=0.1299  (2309s)
  epoch 2 step 8200  loss=0.1298  (2370s)
  epoch 2 step 8400  loss=0.1298  (2430s)
  epoch 2 step 8600  loss=0.1298  (2492s)
  epoch 2 step 8800  loss=0.1299  (2551s)
  epoch 2 step 9000  loss=0.1299  (2610s)
  epoch 2 step 9200  loss=0.1299  (2672s)
  epoch 2 step 9400  loss=0.1298  (2734s)
  epoch 2 step 9600  loss=0.1298  (2796s)
  epoch 2 step 9800  loss=0.1297  (2856s)
  epoch 2 step 10000  loss=0.1297  (2918s)
  epoch 2 step 10200  loss=0.1296  (2978s)
  epoch 2 step 10400  loss=0.1296  (3038s)
  epoch 2 step 10600  loss=0.1296  (3100s)
  epoch 2 step 10800  loss=0.1295  (3161s)
  epoch 2 step 11000  loss=0.1295  (3222s)
  epoch 2 step 11200  loss=0.1295  (3283s)
  epoch 2 step 11400  loss=0.1295  (3344s)
  epoch 2 step 11600  loss=0.1295  (3406s)
  epoch 2 step 11800  loss=0.1294  (3467s)
  epoch 2 step 12000  loss=0.1294  (3529s)
  epoch 2 step 12200  loss=0.1293  (3590s)
  epoch 2 step 12400  loss=0.1293  (3654s)
  epoch 2 step 12600  loss=0.1292  (3717s)
  epoch 2 step 12800  loss=0.1292  (3778s)
  epoch 2 step 13000  loss=0.1292  (3840s)
  epoch 2 step 13200  loss=0.1291  (3901s)
  epoch 2 step 13400  loss=0.1291  (3963s)
  epoch 2 step 13600  loss=0.1291  (4024s)
  epoch 2 step 13800  loss=0.1290  (4083s)
  epoch 2 step 14000  loss=0.1290  (4141s)
  epoch 2 step 14200  loss=0.1289  (4200s)
  epoch 2 step 14400  loss=0.1289  (4259s)
  epoch 2 step 14600  loss=0.1289  (4317s)
  epoch 2 step 14800  loss=0.1289  (4374s)
  epoch 2 step 15000  loss=0.1289  (4434s)
  epoch 2 step 15200  loss=0.1289  (4491s)
  epoch 2 step 15400  loss=0.1288  (4546s)
  epoch 2 step 15600  loss=0.1288  (4603s)
  epoch 2 step 15800  loss=0.1288  (4657s)
  epoch 2 step 16000  loss=0.1288  (4713s)
  epoch 2 step 16200  loss=0.1288  (4770s)
  epoch 2 step 16400  loss=0.1288  (4825s)
  epoch 2 step 16600  loss=0.1287  (4882s)
  epoch 2 step 16800  loss=0.1287  (4942s)
  epoch 2 step 17000  loss=0.1287  (4997s)
  epoch 2 step 17200  loss=0.1287  (5053s)
  epoch 2 step 17400  loss=0.1287  (5109s)
  epoch 2 step 17600  loss=0.1286  (5170s)
  epoch 2 step 17800  loss=0.1286  (5228s)
  epoch 2 step 18000  loss=0.1286  (5289s)
  epoch 2 step 18200  loss=0.1286  (5348s)
  epoch 2 step 18400  loss=0.1285  (5406s)
  epoch 2 step 18600  loss=0.1285  (5465s)
  epoch 2 step 18800  loss=0.1285  (5523s)
  epoch 2 step 19000  loss=0.1285  (5580s)
  epoch 2 step 19200  loss=0.1285  (5639s)
  epoch 2 step 19400  loss=0.1284  (5699s)
  epoch 2 step 19600  loss=0.1284  (5760s)
  epoch 2 step 19800  loss=0.1284  (5820s)
  epoch 2 step 20000  loss=0.1284  (5879s)
  epoch 2 step 20200  loss=0.1284  (5940s)
  epoch 2 step 20400  loss=0.1283  (5998s)
  epoch 2 step 20600  loss=0.1283  (6057s)
  epoch 2 step 20800  loss=0.1283  (6117s)
  epoch 2 step 21000  loss=0.1283  (6177s)
  epoch 2 step 21200  loss=0.1282  (6235s)
  epoch 2 step 21400  loss=0.1282  (6295s)
  epoch 2 step 21600  loss=0.1282  (6356s)
  epoch 2 step 21800  loss=0.1282  (6417s)
  epoch 2 step 22000  loss=0.1282  (6477s)
  epoch 2 step 22200  loss=0.1282  (6538s)
  epoch 2 step 22400  loss=0.1282  (6600s)
[epoch 2] loss=0.1281 lr=1.00e-04 train=6635s
      ai: acc=0.7426 ap=0.8510  blur: acc=0.9907 ap=0.9982  jpeg: acc=0.9988 ap=0.9998  noise: acc=0.9991 ap=1.0000
      ai AP by variant:  clean=0.9990  blur=0.8170  jpeg=0.6717  noise=0.6517
  epoch 3 step 200  loss=0.1250  (56s)
  epoch 3 step 400  loss=0.1256  (108s)
  epoch 3 step 600  loss=0.1257  (161s)
  epoch 3 step 800  loss=0.1257  (213s)
  epoch 3 step 1000  loss=0.1262  (270s)
  epoch 3 step 1200  loss=0.1259  (325s)
  epoch 3 step 1400  loss=0.1256  (377s)
  epoch 3 step 1600  loss=0.1257  (433s)
  epoch 3 step 1800  loss=0.1257  (487s)
  epoch 3 step 2000  loss=0.1257  (541s)
  epoch 3 step 2200  loss=0.1258  (597s)
  epoch 3 step 2400  loss=0.1256  (651s)
  epoch 3 step 2600  loss=0.1255  (707s)
  epoch 3 step 2800  loss=0.1255  (761s)
  epoch 3 step 3000  loss=0.1253  (819s)
  epoch 3 step 3200  loss=0.1253  (873s)
  epoch 3 step 3400  loss=0.1253  (927s)
  epoch 3 step 3600  loss=0.1253  (981s)
  epoch 3 step 3800  loss=0.1253  (1035s)
  epoch 3 step 4000  loss=0.1252  (1091s)
  epoch 3 step 4200  loss=0.1252  (1148s)
  epoch 3 step 4400  loss=0.1252  (1206s)
  epoch 3 step 4600  loss=0.1252  (1261s)
  epoch 3 step 4800  loss=0.1251  (1316s)
  epoch 3 step 5000  loss=0.1251  (1373s)
  epoch 3 step 5200  loss=0.1250  (1436s)
  epoch 3 step 5400  loss=0.1249  (1491s)
  epoch 3 step 5600  loss=0.1249  (1545s)
  epoch 3 step 5800  loss=0.1248  (1608s)
  epoch 3 step 6000  loss=0.1248  (1661s)
  epoch 3 step 6200  loss=0.1248  (1714s)
  epoch 3 step 6400  loss=0.1248  (1767s)
  epoch 3 step 6600  loss=0.1247  (1819s)
  epoch 3 step 6800  loss=0.1247  (1874s)
  epoch 3 step 7000  loss=0.1247  (1927s)
  epoch 3 step 7200  loss=0.1247  (1982s)
  epoch 3 step 7400  loss=0.1247  (2038s)
  epoch 3 step 7600  loss=0.1246  (2093s)
  epoch 3 step 7800  loss=0.1246  (2148s)
  epoch 3 step 8000  loss=0.1246  (2206s)
  epoch 3 step 8200  loss=0.1246  (2261s)
  epoch 3 step 8400  loss=0.1245  (2319s)
  epoch 3 step 8600  loss=0.1245  (2373s)
  epoch 3 step 8800  loss=0.1245  (2429s)
  epoch 3 step 9000  loss=0.1245  (2486s)
  epoch 3 step 9200  loss=0.1245  (2544s)
  epoch 3 step 9400  loss=0.1245  (2601s)
  epoch 3 step 9600  loss=0.1245  (2660s)
  epoch 3 step 9800  loss=0.1245  (2716s)
  epoch 3 step 10000  loss=0.1244  (2772s)
  epoch 3 step 10200  loss=0.1245  (2829s)
  epoch 3 step 10400  loss=0.1244  (2888s)
  epoch 3 step 10600  loss=0.1244  (2946s)
  epoch 3 step 10800  loss=0.1244  (3004s)
  epoch 3 step 11000  loss=0.1244  (3059s)
  epoch 3 step 11200  loss=0.1244  (3117s)
  epoch 3 step 11400  loss=0.1244  (3174s)
  epoch 3 step 11600  loss=0.1243  (3233s)
  epoch 3 step 11800  loss=0.1243  (3290s)
  epoch 3 step 12000  loss=0.1243  (3349s)
  epoch 3 step 12200  loss=0.1243  (3405s)
  epoch 3 step 12400  loss=0.1243  (3461s)
  epoch 3 step 12600  loss=0.1243  (3517s)
  epoch 3 step 12800  loss=0.1243  (3575s)
  epoch 3 step 13000  loss=0.1243  (3635s)
  epoch 3 step 13200  loss=0.1242  (3694s)
  epoch 3 step 13400  loss=0.1242  (3752s)
  epoch 3 step 13600  loss=0.1242  (3810s)
  epoch 3 step 13800  loss=0.1242  (3871s)
  epoch 3 step 14000  loss=0.1242  (3931s)
  epoch 3 step 14200  loss=0.1242  (3991s)
  epoch 3 step 14400  loss=0.1242  (4052s)
